institute,city,url
Bowie State University,Bowie,http://www.bowiestate.edu
Capitol Technology University,Laurel,http://www.capitol-college.edu
Coppin State University,Baltimore,http://www.coppin.edu
Frostburg State University,Frostburg,http://www.frostburg.edu
Goucher College,Baltimore,http://www.goucher.edu
Hood College,Frederick,http://www.hood.edu
Johns Hopkins University,Baltimore,http://www.jhu.edu
Loyola University Maryland,Baltimore,http://www.loyola.edu
Maryland University of Integrative Health,Laurel,http://www.muih.edu
McDaniel College,Westminster,http://www.mcdaniel.edu
Morgan State University,Baltimore,http://www.morgan.edu
Mount Saint Mary's University,Emmitsburg,http://www.msmary.edu
Notre Dame of Maryland University,Baltimore,http://www.ndm.edu/
Saint John's College,Annapolis,http://www.sjca.edu
Saint Mary's College of Maryland,Saint Mary's City,http://www.smcm.edu
Salisbury University,Salisbury,http://www.salisbury.edu
Stevenson University,Stevenson,http://www.stevenson.edu
The Maryland Institute College of Art,Baltimore,http://www.mica.edu/
Towson University,Towson,http://www.towson.edu
Uniformed Services University of the Health Sciences,Bethesda,http://www.usuhs.edu/
University of Baltimore,Baltimore,http://www.ubalt.edu/
University of Maryland Baltimore,Baltimore,http://www.umaryland.edu
University of Maryland Baltimore County,Baltimore,http://www.umbc.edu
University of Maryland College Park,College Park,http://www.umd.edu
University of Maryland Eastern Shore,Princess Anne,http://www.umes.edu
University of Maryland Global Campus,Adelphi,https://www.umgc.edu
Washington Adventist University,Takoma Park,http://www.wau.edu/
Washington College,Chestertown,http://www.washcoll.edu
