institute,city,url
Adrian College,Adrian,https://www.adrian.edu
Albion College,Albion,https://www.albion.edu
Alma College,Alma,https://www.alma.edu
Alpena Community College,Alpena,https://discover.alpenacc.edu
Andrews University,Berrien Springs,https://www.andrews.edu
Aquinas College,Grand Rapids,https://www.aquinas.edu
Baker College,Owosso,https://www.baker.edu
Bay Mills Community College,Brimley,https://www.bmcc.edu
Calvin University,Grand Rapids,https://calvin.edu
Central Michigan University,Mount Pleasant,https://www.cmich.edu
Cleary University,Howell,https://www.cleary.edu
Compass College of Film and Media,Grand Rapids,https://compass.edu
"Concordia University-Wisconsin
Concordia University-Ann Arbor",Ann Arbor,https://www.cuaa.edu
Cornerstone University,Grand Rapids,https://www.cornerstone.edu
Cranbrook Academy of Art,Bloomfield Hills,https://cranbrookart.edu
Davenport University,Grand Rapids,https://www.davenport.edu
"Davenport University
Davenport University-Kalamazoo",Kalamazoo,https://www.davenport.edu/campuses/kalamazoo
"Davenport University
Davenport University-Lansing",Lansing,https://www.davenport.edu/campuses/lansing
"Davenport University
Davenport University-Midland",Midland,https://www.davenport.edu/campuses/midland
"Davenport University
Davenport University-Traverse City",Traverse City,https://www.davenport.edu/campuses/traverse-city
"Davenport University
Davenport University-Warren",Warren,https://www.davenport.edu/campuses/warren
Eastern Michigan University,Ypsilanti,https://www.emich.edu
Ferris State University,Big Rapids,https://www.ferris.edu
Finlandia University,Hancock,https://www.finlandia.edu
Grace Christian University,Grand Rapids,https://gracechristian.edu
Grand Valley State University,Allendale,https://www.gvsu.edu
Great Lakes Christian College,Lansing,https://www.glcc.edu
Henry Ford College,Dearborn,https://www.hfcc.edu
Hillsdale College,Hillsdale,https://www.hillsdale.edu
Hope College,Holland,https://hope.edu
Jackson College,Jackson,https://www.jccmi.edu
Kalamazoo College,Kalamazoo,https://www.kzoo.edu
Kettering University,Flint,https://www.kettering.edu
Kuyper College,Grand Rapids,https://www.kuyper.edu
Lake Superior State University,Sault Ste. Marie,https://www.lssu.edu
Lawrence Technological University,Southfield,https://www.ltu.edu
Madonna University,Livonia,https://www.madonna.edu
Michigan School of Psychology,Farmington Mills,https://msp.edu
Michigan State University,East Lansing,https://msu.edu
Michigan Technological University,Houghton,https://www.mtu.edu
"Moody Bible Institute
Moody Theological Seminary in Michigan","Plymouth, MI 48170",https://www.moody.edu/grad/michigan
Northern Michigan University,Marquette,https://nmu.edu
Northwestern Michigan College,Traverse City,https://www.nmc.edu
Northwood University,Midland,https://www.northwood.edu
Oakland University,Rochester,https://www.oakland.edu
Olivet College,Olivet,https://www.olivetcollege.edu
Rochester University,Rochester Hills,https://rochesteru.edu
Saginaw Valley State University,University Center,https://www.svsu.edu
Schoolcraft College,Livonia,https://www.schoolcraft.edu
Siena Heights University,Adrian,https://www.sienaheights.edu
Spring Arbor University,Spring Arbor,https://www.arbor.edu
The College for Creative Studies,Detroit,https://www.collegeforcreativestudies.edu
University of Detroit Mercy,Detroit,https://www.udmercy.edu
University of Michigan,Ann Arbor,https://umich.edu
University of Michigan-Dearborn,Dearborn,https://umdearborn.edu
University of Michigan-Flint,Flint,https://www.umflint.edu
Walsh College,Troy,https://walshcollege.edu
Wayne State University,Detroit,https://wayne.edu
Western Michigan University,Kalamazoo,https://wmich.edu
Western Michigan University Homer Stryker M.D. School of Medicine,Kalamazoo,https://med.wmich.edu
Western Michigan University-Thomas M. Cooley Law School,Lansing,https://www.cooley.edu
