institute,city,url
"Mayo Medical School
Mayo Clinic College of Medicine and Science - Arizona",Scottsdale,https://college.mayo.edu
"Mayo Medical School
Mayo Clinic College of Medicine and Science - Florida",Jacksonville,https://college.mayo.edu/campus-and-community/florida
Academy College,Minneapolis,http://www.academycollege.edu
Adler Graduate School,Richfield,http://www.alfredadler.edu
American Academy of Acupuncture and Oriental Medicine,Roseville,http://www.aaaom.edu
Augsburg College,Minneapolis,http://www.augsburg.edu
Bemidji State University,Bemidji,http://www.bemidjistate.edu
Bethany Lutheran College,Mankato,https://www.blc.edu/
Bethel University,Saint Paul,http://www.bethel.edu
Capella University,Minneapolis,http://www.capellauniversity.edu
Carleton College,Northfield,http://www.carleton.edu
College of Saint Benedict,Saint Joseph,http://www.csbsju.edu
Concordia College,Moorhead,http://www.cord.edu
Concordia University-Saint Paul,Saint Paul,http://www.csp.edu
Crown College,Saint Bonifacius,http://www.crown.edu
Dunwoody College of Technology,Minneapolis,http://www.dunwoody.edu/
Gustavus Adolphus College,Saint Paul,http://www.gustavus.edu
Hamline University,Saint Paul,http://www.hamline.edu
Hazelden Graduate School of Addiction Studies,Center City,http://www.hazelden.org/
Herzing University-Minneapolis,Crystal,http://www.herzing.edu
Macalester College,Saint Paul,http://www.macalester.edu
Martin Luther College,New Ulm,http://www.mlc-wels.edu
Mayo Graduate School,Rochester,http://www.mayo.edu/mgs/
Metropolitan State University,Saint Paul,http://www.metrostate.edu
Minneapolis College of Art and Design,Minneapolis,http://www.mcad.edu
Minnesota State University Mankato,Mankato,http://www.mnsu.edu
Minnesota State University Moorhead,Moorhead,http://www.mnstate.edu
Mitchell Hamline School of Law,Saint Paul,http://mitchellhamline.edu
North Central University,Minneapolis,http://www.northcentral.edu
Northwestern Health Sciences University,Bloomington,http://www.nwhealth.edu
Oak Hills Christian College,Bemidji,http://www.oakhills.edu/
Rasmussen College-Lake Elmo/Woodbury,Lake Elmo,http://www.rasmussen.edu/locations/minnesota/twin-cities/lake-elmo-woodbury/
Saint Catherine University,Saint Paul,http://www.stkate.edu
Saint Cloud State University,Saint Cloud,http://www.stcloudstate.edu
Saint John's University,Collegeville,http://www.csbsju.edu/about/saint-johns-university
Saint Mary's University of Minnesota,Winona,http://www.smumn.edu
Saint Olaf College,Northfield,http://www.stolaf.edu
Southwest Minnesota State University,Marshall,http://www.smsu.edu
The College of Saint Scholastica,Duluth,http://www.css.edu
University of Minnesota-Crookston,Crookston,http://www.umcrookston.edu/
University of Minnesota-Duluth,Duluth,http://www.d.umn.edu
University of Minnesota-Morris,Morris,http://www.mrs.umn.edu
University of Minnesota-Rochester,Rochester,http://r.umn.edu/
University of Minnesota-Twin Cities,Minneapolis,http://www.umn.edu
University of Northwestern - St. Paul,Saint Paul,http://www.unwsp.edu
University of Saint Thomas,Saint Paul,http://www.stthomas.edu
Walden University,Minneapolis,http://www.waldenu.edu
Winona State University,Winona,http://www.winona.edu
