institute,city,url
Alcorn State University,Alcorn State,http://www.alcorn.edu
Belhaven University,Jackson,http://www.belhaven.edu
Blue Mountain College,Blue Mountain,http://www.bmc.edu
Delta State University,Cleveland,http://www.deltastate.edu
Jackson State University,Jackson,http://www.jsums.edu
Millsaps College,Jackson,http://www.millsaps.edu
Mississippi College,Clinton,http://www.mc.edu
Mississippi State University,Mississippi State,http://www.msstate.edu
Mississippi University for Women,Columbus,http://www.muw.edu
Mississippi Valley State University,Itta Bena,http://www.mvsu.edu
Rust College,Holly Springs,http://www.rustcollege.edu
Tougaloo College,Tougaloo,http://www.tougaloo.edu
University of Mississippi,University,http://www.olemiss.edu
University of Mississippi Medical Center,Jackson,http://www.umc.edu
University of Southern Mississippi,Hattiesburg,http://www.usm.edu
William Carey University,Hattiesburg,http://www.wmcarey.edu
