institute,city,url
"Columbia College
Columbia College - Redstone Arsenal",Redstone Arsenal,https://www.ccis.edu/locations/redstone-arsenal.aspx
"Columbia College
Columbia College - Denver",Aurora,https://www.ccis.edu/locations/denver.aspx
"Columbia College
Columbia College - Jacksonville",Jacksonville,https://www.ccis.edu/locations/jacksonville.aspx
"Columbia College
Columbia College - NAS Jacksonville",Jacksonville,https://www.ccis.edu/locations/nas-jacksonville.aspx
"Columbia College
Columbia College - Orlando",Orlando,https://www.ccis.edu/locations/orlando.aspx
"Columbia College
Columbia College - USCG Base Honolulu",Aiea,https://www.ccis.edu/locations/honolulu.aspx
"Columbia College
Columbia College - Crystal Lake Campus",Crystal Lake,https://www.ccis.edu/locations/crystal-lake.aspx
"Columbia College
Columbia College - Elgin",Elgin,https://www.ccis.edu/locations/elgin.aspx
"Columbia College
Columbia College - Freeport",Freeport,https://www.ccis.edu/locations/freeport.aspx
"Columbia College
Columbia College - Lake County",Gurnee,https://www.ccis.edu/locations/lake-county.aspx
A.T. Still University of Health Sciences,Kirksville,https://www.atsu.edu
Avila University,Kansas City,https://www.avila.edu
Baptist Bible College,Springfield,https://gobbc.edu
Bolivar Technical College,Bolivar,https://www.bolivarcollege.edu
Bryan University,Springfield,https://bryanu.edu
Calvary University,Kansas City,https://www.calvary.edu
Central Methodist University,Fayette,https://www.centralmethodist.edu
"Chamberlain University-Illinois
Chamberlain University-Missouri",Saint Louis,https://www.chamberlain.edu/nursing-school/missouri/st-louis
City Vision University,Kansas City,https://www.cityvision.edu
College of the Ozarks,Point Lookout,https://www.cofo.edu
Columbia College,Columbia,https://www.ccis.edu
"Columbia College
Columbia College-Fort Leonard Wood",Fort Leonard Wood,https://www.ccis.edu/locations/fort-leonard-wood
"Columbia College
Columbia College-Jefferson City",Jefferson City,https://www.ccis.edu/locations/jefferson-city
"Columbia College
Columbia College-Kansas City",Kansas City,https://www.ccis.edu/locations/kansas-city
"Columbia College
Columbia College-Lake of the Ozarks",Osage Beach,https://www.ccis.edu/locations/lake-ozark
"Columbia College
Columbia College-Rolla",Rolla,https://www.ccis.edu/locations/rolla
"Columbia College
Columbia College-Saint Louis",Saint Louis,https://www.ccis.edu/locations/st-louis
"Columbia College
Columbia College-Springfield",Springfield,https://www.ccis.edu/locations/springfield
"Columbia College
Columbia College-Whiteman AFB",Whiteman AFB,https://www.ccis.edu/locations/whiteman
Columbia College-Waynesville,Waynesville,https://www.ccis.edu/locations/waynesville
Concorde Career College-Kansas City,Kansas City,https://www.concorde.edu/campus/kansas-city-missouri
Cottey College,Nevada,https://cottey.edu
Covenant Theological Seminary,Saint Louis,https://www.covenantseminary.edu
Cox College,Springfield,https://coxcollege.edu
Culver-Stockton College,Canton,https://culver.edu
Drury University,Springfield,https://www.drury.edu
Evangel University of the Assemblies of God,Springfield,https://www.evangel.edu
Fontbonne University,Saint Louis,https://www.fontbonne.edu
Goldfarb School of Nursing at Barnes-Jewish College,Saint Louis,https://www.barnesjewishcollege.edu
"Graceland University
Graceland University-Independence",Independence,https://www.graceland.edu/about/campus-locations/independence-campus
"Graceland University
Graceland University-Trenton",Trenton,https://www.graceland.edu/programs/elementary-education-indep
Hannibal-Lagrange University,Hannibal,https://www.hlg.edu
Harris-Stowe State University,Saint Louis,https://www.hssu.edu
Kansas City Art Institute,Kansas City,https://www.kcai.edu
Kansas City University,Kansas City,https://www.kansascity.edu
Lincoln University,Jefferson City,https://www.lincolnu.edu
Lindenwood University,Saint Charles,https://www.lindenwood.edu
Logan University,Chesterfield,https://www.logan.edu
Maryville University of Saint Louis,Saint Louis,https://www.maryville.edu
Midwestern Baptist Theological Seminary,Kansas City,https://www.mbts.edu
Missouri Baptist University,Saint Louis,https://www.mobap.edu
Missouri Southern State University,Joplin,https://www.mssu.edu
Missouri State University,Springfield,https://www.missouristate.edu
Missouri University of Science and Technology,Rolla,https://www.mst.edu
Missouri Valley College,Marshall,https://www.moval.edu
Missouri Western State University,Saint Joseph,https://www.missouriwestern.edu
Northwest Missouri State University,Maryville,https://www.nwmissouri.edu
Ozarks Technical Community College,Springfield,https://www.otc.edu
Park University,Parkville,https://www.park.edu
"Ponce School of Medicine and Health Sciences
Ponce Health Sciences University-St Louis",Saint Louis,https://stlouis.psm.edu
Ranken Technical College,Saint Louis,https://ranken.edu
Research College of Nursing,Kansas City,http://www.researchcollege.edu
Rockhurst University,Kansas City,https://www.rockhurst.edu
Saint Louis University,Saint Louis,https://www.slu.edu
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,https://www.sehcollege.edu
Southeast Missouri State University,Cape Girardeau,https://semo.edu
Southwest Baptist University,Bolivar,https://www.sbuniv.edu
St. Louis College of Health Careers-Fenton,Fenton,https://slchc.edu
Stephens College,Columbia,https://www.stephens.edu
Stevens-The Institute of Business and Arts,Saint Louis,https://siba.edu
Truman State University,Kirksville,https://www.truman.edu
University Health Truman Medical Center School of Nurse Anesthesia,Kansas City,https://www.universityhealthkc.org/locations/university-health-truman-medical-center
University of Central Missouri,Warrensburg,https://www.ucmo.edu
University of Health Sciences and Pharmacy in St. Louis,Saint Louis,https://www.uhsp.edu
University of Missouri-Columbia,Columbia,https://missouri.edu
University of Missouri-Kansas City,Kansas City,https://www.umkc.edu
University of Missouri-Saint Louis,Saint Louis,https://www.umsl.edu
Urshan College,Wentzville,https://urshancollege.org
Washington University in St. Louis,Saint Louis,https://wustl.edu
Webster University,Saint Louis,https://www.webster.edu
Westminster College,Fulton,https://www.wcmo.edu
William Jewell College,Liberty,https://www.jewell.edu
William Woods University,Fulton,https://www.williamwoods.edu
"Columbia College
Columbia College - Fort Worth",Fort Worth,https://www.ccis.edu/locations/fort-worth
"Columbia College
Columbia College - Mesquite",Dallas,https://www.ccis.edu/locations/mesquite
"Columbia College
Columbia College-Salt Lake",Murray,https://www.ccis.edu/locations/salt-lake
