institute,city,url
Apollos University,Great Falls,http://apollos.edu
Carroll College,Helena,http://www.carroll.edu
Montana State University,Bozeman,http://www.montana.edu
Montana State University-Billings,Billings,http://www.msubillings.edu
Montana State University-Northern,Havre,http://www.msun.edu
Montana Tech of the University of Montana,Butte,http://www.mtech.edu
Rocky Mountain College,Billings,http://www.rocky.edu
Salish Kootenai College,Pablo,http://www.skc.edu
Stone Child College,Box Elder,http://www.stonechild.edu
The University of Montana,Missoula,http://www.umt.edu
The University of Montana - Western,Dillon,http://www.umwestern.edu
University of Great Falls,Great Falls,http://www.ugf.edu
