institute,city,url
Bellevue University,Bellevue,https://www.bellevue.edu
Bryan College of Health Sciences,Lincoln,https://www.bryanhealthcollege.edu
Chadron State College,Chadron,https://www.csc.edu
CHI Health School of Radiologic Technology,Omaha,https://www.chihealth.com/school-of-radiologic-technology
Clarkson College,Omaha,https://www.clarksoncollege.edu
College of Saint Mary,Omaha,https://www.csm.edu
"Concordia University, Nebraska",Seward,https://www.cune.edu
Creighton University,Omaha,https://www.creighton.edu
Doane University,Crete,https://www.doane.edu
Hastings College,Hastings,https://www.hastings.edu
Midland University,Fremont,https://www.midlandu.edu
Nebraska Methodist College,Omaha,https://www.methodistcollege.edu
Nebraska Wesleyan University,Lincoln,https://www.nebrwesleyan.edu
Peru State College,Peru,https://www.peru.edu
Union College,Lincoln,https://ucollege.edu
University of Nebraska at Kearney,Kearney,https://www.unk.edu
University of Nebraska at Omaha,Omaha,https://www.unomaha.edu
University of Nebraska Medical Center,Omaha,https://www.unmc.edu
University of Nebraska-Lincoln,Lincoln,https://www.unl.edu
Wayne State College,Wayne,https://www.wsc.edu
York University,York,https://www.york.edu
