institute,city,url
Eastern New Mexico University,Portales,http://www.enmu.edu
Institute of American Indian and Alaskan Native Culture and Arts Development,Santa Fe,http://www.iaia.edu
National College of Midwifery,Taos,http://www.midwiferycollege.org
Navajo Technical University,Crownpoint,http://www.navajotech.edu
New Mexico Highlands University,Las Vegas,http://www.nmhu.edu
New Mexico Institute of Mining and Technology,Socorro,http://www.nmt.edu
New Mexico State University,Las Cruces,http://www.nmsu.edu
Northern New Mexico College,Española,http://www.nnmc.edu
Saint John's College,Santa Fe,http://www.sjc.edu
Southwestern College,Santa Fe,http://www.swc.edu
The University of New Mexico,Albuquerque,http://www.unm.edu
University of the Southwest,Hobbs,http://www.usw.edu
Western New Mexico University,Silver City,http://www.wnmu.edu
