institute,city,url
Appalachian State University,Boone,https://www.appstate.edu
Barton College,Drive Wilson,https://www.barton.edu
Belmont Abbey College,Belmont,https://belmontabbeycollege.edu
Bennett College,Greensboro,https://www.bennett.edu
Brevard College,Brevard,https://brevard.edu
Cabarrus College of Health Sciences,Concord,https://cabarruscollege.edu
Campbell University,Buies Creek,https://www.campbell.edu
Carolina University,Winston-Salem,https://carolinau.edu
Carolinas College of Health Sciences,Charlotte,https://atriumhealth.org
Catawba College,Salisbury,https://www.catawba.edu
"Chamberlain University-Illinois
Chamberlain University-North Carolina",Charlotte,https://www.chamberlain.edu/nursing-school/north-carolina/charlotte
Chowan University,Murfreesboro,https://www.chowan.edu
Davidson College,Davidson,https://www.davidson.edu
DeVry University North Carolina,Charlotte,https://www.devry.edu/about/campus-locations/north-carolina.html
Duke University,Durham,https://duke.edu
East Carolina University,Greenville,https://www.ecu.edu
"ECPI University
ECPI University-Charlotte",Charlotte,https://www.ecpi.edu
"ECPI University
ECPI University-Greensboro",Greensboro,https://www.ecpi.edu/locations/greensboro-nc
"ECPI University
ECPI University-Raleigh",Raleigh,https://www.ecpi.edu/locations/raleigh-nc
Elizabeth City State University,Elizabeth City,https://www.ecsu.edu
Elon University,Elon,https://www.elon.edu
Fayetteville State University,Fayetteville,https://www.uncfsu.edu
Gardner-Webb University,Boiling Springs,https://gardner-webb.edu
Greensboro College,Greensboro,https://www.greensboro.edu
Guilford College,Greensboro,https://www.guilford.edu
High Point University,High Point,https://www.highpoint.edu
Johnson and Wales University-Charlotte,Charlotte,https://www.jwu.edu/campuses/charlotte
Johnson C. Smith University,Charlotte,https://www.jcsu.edu
Lees-McRae College,Banner Elk,https://www.lmc.edu
Lenoir-Rhyne University,Hickory,https://www.lr.edu
Livingstone College,Salisbury,http://livingstone.edu
Mars Hill University,Mars Hill,https://www.mhu.edu
Meredith College,Raleigh,https://www.meredith.edu
Methodist University,Fayetteville,https://www.methodist.edu
Mid-Atlantic Christian University,Elizabeth City,https://www.macuniversity.edu
Montreat College,Montreat,https://www.montreat.edu
North Carolina Agricultural and Technical State University,Greensboro,https://www.ncat.edu
North Carolina Central University,Durham,https://www.nccu.edu
North Carolina State University,Raleigh,https://www.ncsu.edu
North Carolina Wesleyan University,Rocky Mount,https://ncwc.edu
Pfeiffer University,Misenheimer,https://www.pfeiffer.edu
Queens University of Charlotte,Charlotte,https://www.queens.edu
Saint Augustine's University,Raleigh,https://www.st-aug.edu
Salem College,Winston-Salem,https://www.salem.edu
Shaw University,Raleigh,https://www.shawu.edu
South University-High Point,High Point,https://www.southuniversity.edu/high-point
St. Andrews University,Laurinburg,https://www.sa.edu
"Strayer University
Strayer University-North Carolina",Greensboro,https://www.strayer.edu/campus-locations/north-carolina/greensboro
"Strayer University
Strayer University-North Charlotte",Concord,https://www.strayer.edu/campus-locations/north-carolina/north-charlotte
"Strayer University
Strayer University-North Raleigh Campus",Raleigh,https://www.strayer.edu/campus-locations/north-carolina/north-raleigh
"Strayer University
Strayer University-South Charlotte",Charlotte,https://www.strayer.edu/campus-locations/north-carolina/south-charlotte
"Strayer University
Strayer University-South Raleigh Campus",Raleigh,https://www.strayer.edu/campus-locations/north-carolina/south-raleigh
"Strayer University
Strayer University-South Raleigh Campus",Raleigh,https://www.strayer.edu/campus-locations/north-carolina/south-raleigh
University of Mount Olive,Mount Olive,https://umo.edu
University of North Carolina at Asheville,Asheville,https://www.unca.edu
University of North Carolina at Chapel Hill,Chapel Hill,https://www.unc.edu
University of North Carolina at Charlotte,Charlotte,https://www.charlotte.edu
University of North Carolina at Greensboro,Greensboro,https://www.uncg.edu
University of North Carolina at Pembroke,Pembroke,https://www.uncp.edu
University of North Carolina School of the Arts,Winston-Salem,https://www.uncsa.edu
University of North Carolina Wilmington,Wilmington,https://uncw.edu
Wake Forest University,Winston-Salem,https://www.wfu.edu
Warren Wilson College,Asheville,https://www.warren-wilson.edu
Watts College of Nursing,Durham,https://wattscollegeofnursing.edu
Western Carolina University,Cullowhee,https://www.wcu.edu
William Peace University,Raleigh,https://www.peace.edu
Wingate University,Wingate,https://www.wingate.edu
Winston-Salem State University,Winston-Salem,https://www.wssu.edu
