institute,city,url
Dickinson State University,Dickinson,http://www.dickinsonstate.edu/
Jamestown College,Jamestown,http://www.uj.edu/
Mayville State University,Mayville,http://www.mayvillestate.edu
Minot State University,Minot,http://www.minotstateu.edu/about.shtml
North Dakota State University,Fargo,http://www.ndsu.edu
Nueta Hidatsa Sahnish College,New Town,https://nhsc.edu
Sitting Bull College,Fort Yates,https://sittingbull.edu
Trinity Bible College,Ellendale,http://www.trinitybiblecollege.edu
Turtle Mountain Community College,Belcourt,https://www.tm.edu
United Tribes Technical College,Bismarck,https://uttc.edu
University of Mary,Bismarck,http://www.umary.edu
University of North Dakota,Grand Forks,http://www.und.edu
Valley City State University,Valley City,http://www.vcsu.edu
