institute,city,url
"Union Institute and University
Florida Center",Hollywood,https://www.myunion.edu
Antioch University,Yellow Springs,http://www.antioch.edu
Art Academy of Cincinnati,Cincinnati,http://www.artacademy.edu
Ashland University,Ashland,http://www.ashland.edu
Baldwin-Wallace College,Berea,http://www.bw.edu
Bluffton University,Bluffton,http://www.bluffton.edu/
Bowling Green State University,Bowling Green,http://www.bgsu.edu
Bryant and Stratton College-Parma,Parma,http://www.bryantstratton.edu
Capital University,Columbus,http://www.capital.edu
Case Western Reserve University,Cleveland,http://www.case.edu
Cedarville University,Cedarville,http://www.cedarville.edu
Central State University,Wilberforce,http://www.centralstate.edu
Cincinnati College of Mortuary Science,Cincinnati,http://www.ccms.edu
Cleveland Institute of Art,Cleveland,http://www.cia.edu
Cleveland Institute of Music,Cleveland,http://www.cim.edu
Cleveland State University,Cleveland,http://www.csuohio.edu
Columbus College of Art and Design,Columbus,http://www.ccad.edu
Defiance College,Defiance,http://www.defiance.edu
Denison University,Granville,http://www.denison.edu
DeVry University - Ohio,Columbus,http://www.devrycols.edu
Franciscan University of Steubenville,Steubenville,http://www.franciscan.edu
Franklin University,Columbus,http://www.franklin.edu
God's Bible School and College,Cincinnati,http://www.gbs.edu
Heidelberg University,Tiffin,http://www.heidelberg.edu
Hiram College,Hiram,http://www.hiram.edu
John Carroll University,Cleveland,http://www.jcu.edu
Kent State University,Kent,http://www.kent.edu
Kenyon College,Gambier,http://www.kenyon.edu
Kettering College,Kettering,http://www.kc.edu
Lake Erie College,Painesville,https://www.lec.edu/
Lourdes College,Sylvania,http://www.lourdes.edu
Malone University,Canton,http://www.malone.edu
Marietta College,Marietta,http://www.marietta.edu
Mercy College of Ohio,Toledo,http://www.mercycollege.edu
Miami University,Oxford,http://www.muohio.edu
Mount Carmel College of Nursing,Columbus,http://www.mccn.edu
Mount St. Joseph University,Cincinnati,http://www.msj.edu
Mount Vernon Nazarene University,Mount Vernon,http://www.mvnu.edu
Muskingum University,New Concord,http://www.muskingum.edu
Northeastern Ohio Medical University,Rootstown,http://www.neomed.edu/
Notre Dame College,South Eclid,http://www.notredamecollege.edu
Oberlin College,Oberlin,http://www.oberlin.edu
Ohio Christian University,Circleville,http://www.ohiochristian.edu
Ohio Dominican University,Columbus,http://www.ohiodominican.edu
Ohio Northern University,Ada,http://www-new.onu.edu
Ohio University,Athens,http://www.ohio.edu
Ohio Wesleyan University,Delaware,http://www.owu.edu
Otterbein University,Westerville,http://www.otterbein.edu
Shawnee State University,Portsmouth,http://www.shawnee.edu
The College of Wooster,Wooster,http://www.wooster.edu
The Ohio State University,Columbus,http://www.osu.edu
The University of Akron,Akron,http://www.uakron.edu
The University of Findlay,Findlay,http://www.findlay.edu
Tiffin University,Tiffin,http://www.tiffin.edu
U.S Air Force Institute of Technology,Dayton,http://www.afit.edu/
Union Institute and University,Cincinnati,http://www.tui.edu
University of Cincinnati,Cincinnati,http://www.uc.edu
University of Dayton,Dayton,http://www.udayton.edu
University of Mount Union,Alliance,http://www.mountunion.edu/
University of Northwestern Ohio,Lima,http://www.unoh.edu
University of Rio Grande and Rio Grande Community College,Rio Grande,http://www.rio.edu
University of Toledo,Toledo,http://www.utoledo.edu
Ursuline College,Peper Pike,http://www.ursuline.edu
Walsh University,North Canton,http://www.walsh.edu
Wilberforce University,Wilberforce,http://www.wilberforce.edu
Wilmington College,Wilmington,http://www.wilmington.edu
Wittenberg University,Springfield,http://www.wittenberg.edu
Wright State University,Dayton,http://www.wright.edu
Xavier University,Cincinnati,http://www.xu.edu
Youngstown State University,Youngstown,http://www.ysu.edu
