institute,city,url
Bacone College,Muskogee,http://www.bacone.edu
Cameron University,Lawton,http://www.cameron.edu
East Central University,Ada,http://www.ecok.edu
Hillsdale Free Will Baptist College,Moore,http://www.hc.edu
Langston University,Langston,http://www.lunet.edu
Mid-America Christian University,Oklahoma City,http://www.macu.edu
Northeastern State University,Tahlequah,http://www.nsuok.edu
Northwestern Oklahoma State University,Alva,http://www.nwosu.edu
Oklahoma Baptist University,Shawnee,http://www.okbu.edu
Oklahoma Christian University,Oklahoma City,http://www.oc.edu
Oklahoma City University,Oklahoma City,http://www.okcu.edu
Oklahoma Panhandle State University,Goodwell,http://www.opsu.edu
Oklahoma State University,Stillwater,http://www.okstate.edu
Oklahoma Wesleyan University,Bartlesville,http://www.okwu.edu
Oral Roberts University,Tulsa,http://www.oru.edu
Rogers State University,Claremore,http://www.rsu.edu
Southeastern Oklahoma State University,Durant,http://www.se.edu
Southern Nazarene University,Bethany,http://www.snu.edu
Southwestern Christian University,Bethany,http://www.swcu.edu
Southwestern Oklahoma State University,Weatherford,http://www.swosu.edu
Spartan College of Aeronautics and Technology,Tulsa,http://www.spartan.edu
University of Central Oklahoma,Edmond,http://www.uco.edu
University of Oklahoma,Norman,http://www.ou.edu
University of Science and Arts of Oklahoma,Chickasha,http://www.usao.edu
University of Tulsa,Tulsa,http://www.utulsa.edu
