institute,city,url
American College of Healthcare Sciences,Portland,https://achs.edu
Bushnell University,Eugene,https://www.bushnell.edu
Corban University,Salem,https://www.corban.edu
Eastern Oregon University,La Grande,https://www.eou.edu
George Fox University,Newberg,https://www.georgefox.edu
Lewis and Clark College,Portland,https://www.lclark.edu
Linfield University,McMinnville,https://www.linfield.edu
Multnomah University,Portland,https://www.multnomah.edu
National University of Natural Medicine,Portland,https://nunm.edu
Oregon College of Oriental Medicine,Portland,https://www.ocom.edu
Oregon Health and Science University,Portland,https://www.ohsu.edu
Oregon Institute of Technology,Klamath Falls,https://www.oit.edu
Oregon State University,Corvallis,https://oregonstate.edu
Pacific University,Forest Grove,https://www.pacificu.edu
Portland State University,Portland,https://www.pdx.edu
Reed College,Portland,https://www.reed.edu
Southern Oregon University,Ashland,https://sou.edu
Sumner College,Portland,https://www.sumnercollege.edu
University of Oregon,Eugene,https://www.uoregon.edu
University of Portland,Portland,https://www.up.edu
University of Western States,Portland,https://www.uws.edu
Warner Pacific University,Portland,https://www.warnerpacific.edu
Western Oregon University,Monmouth,https://wou.edu
Willamette University,Salem,https://willamette.edu
