institute,city,url
International Institute in Geneva,Geneva,https://www.iig.ch
American College of Thessaloniki,Thessaloniki,https://www.act.edu
American Institute of Applied Sciences in Switzerland,1814 La Tour-de-Peilz,https://aus.swiss
American University of Rome,Rome,http://www.aur.edu
Business School Lausanne,Chavannes,http://www.bsl-lausanne.ch
Charisma University,Providenciales,https://charisma.edu.eu
"Deree College, The American College of Greece",Athens,http://www.acg.edu
EHL Hospitality Business School,Lausanne 25,https://www.ehl.edu
EU Business School,Clarens,https://www.euruni.edu
Geneva Business School,Geneva,http://www.gbsge.com
Glion Institute of Higher Education,Bulle,https://www.glion.edu
IFM Business School,Geneva,http://ifm.ch
INCAE Business School,Alajuela 20113,https://www.incae.edu/es/inicio
International College of the Cayman Isles,Grand Cayman,http://www.icci.edu.ky
International School of Management,Paris,http://www.ism.edu
"John Cabot University, Rome",Rome,http://www.johncabot.edu/
Les Roches Global Hospitality Education,Bluche-Crans-Montana,https://www.lesroches.edu
Nehemiah Gateway University,Pogradec 7304,https://www.ng-university.org/en
Swiss School of Management,Bellinzona,https://ssm.swiss
The American University of Paris,Paris,http://www.aup.fr
United International Business Schools,Zürich,https://www.uibs.org
Webster University Geneva,Bellevue,https://webster.ch
