institute,city,url
Gannon University,Erie,https://www.gannon.edu
Lehigh University,Bethlehem,https://www1.lehigh.edu/home
Academy of Vocal Arts,Philadelphia,https://avaopera.org
Albright College,Reading,https://www.albright.edu
Allegheny College,Meadville,https://allegheny.edu
Alvernia University,Reading,https://www.alvernia.edu
Arcadia University,Glenside,https://www.arcadia.edu
Bryn Athyn College,Bryn Athyn,https://www.brynathyn.edu
Bryn Mawr College,Bryn Mawr,https://www.brynmawr.edu
Bucknell University,Lewisburg,https://www.bucknell.edu
Cabrini University,Radnor,https://www.cabrini.edu
Cairn University,Langhorne,https://cairn.edu
Carlow University,Pittsburgh,https://www.carlow.edu
Carnegie Mellon University,Pittsburgh,https://www.cmu.edu
Cedar Crest College,Allentown,https://www.cedarcrest.edu
Central Penn College,Summerdale,https://www.centralpenn.edu
Chatham University,Pittsburgh,https://www.chatham.edu
Chestnut Hill College,Philadelphia,https://www.chc.edu
Cheyney University of Pennsylvania,Cheyney,https://cheyney.edu
Clarks Summit University,Clarks Summit,https://www.clarkssummitu.edu
Commonwealth University of Pennsylvania,Bloomsburg,https://www.commonwealthu.edu
Curtis Institute of Music,Philadelphia,https://www.curtis.edu
Delaware Valley College,Doylestown,https://delval.edu
DeSales University,Center Valley,https://www.desales.edu
Dickinson College,Carlisle,https://www.dickinson.edu
Drexel University,Philadelphia,https://drexel.edu
Duquesne University,Pittsburgh,https://www.duq.edu
East Stroudsburg University of Pennsylvania,East Stroudsburg,https://www.esu.edu
Eastern University,Saint Davids,https://www.eastern.edu
Elizabethtown College,Elizabethtown,https://www.etown.edu
Franklin and Marshall College,Lancaster,https://www.fandm.edu
Geisinger College of Health Sciences,Scranton,https://www.geisinger.edu/education-jump
Geneva College,Beaver Falls,https://www.geneva.edu
Gettysburg College,Gettysburg,https://www.gettysburg.edu
Gratz College,Melrose Park,https://www.gratz.edu
Grove City College,Grove City,https://www.gcc.edu
Gwynedd Mercy University,Gwynedd Valley,https://www.gmercyu.edu
Harrisburg University of Science and Technology,Harrisburg,https://www.harrisburgu.edu
Haverford College,Haverford,https://www.haverford.edu
Holy Family University,Philadelphia,https://www.holyfamily.edu
Hussian College-Philadelphia,Philadelphia,https://www.hussiancollege.edu/campuses/philadelphia/index.html
Immaculata University,Immaculata,https://www.immaculata.edu
Indiana University of Pennsylvania,Indiana,https://www.iup.edu
International Institute for Restorative Practices,Bethlehem,https://www.iirp.edu
Juniata College,Huntingdon,https://www.juniata.edu
Keystone College,La Plume,https://www.keystone.edu
King's College,Wilkes-Barre,https://www.kings.edu
Kutztown University of Pennsylvania,Kutztown,https://www.kutztown.edu
La Roche University,Pittsburgh,https://www.laroche.edu
La Salle University,Philadelphia,https://www.lasalle.edu
Lackawanna College,Scranton,https://www.lackawanna.edu
Lafayette College,Easton,https://www.lafayette.edu
Lake Erie College of Ostheopathic Medicine,Erie,https://lecom.edu
Lancaster Bible College,Lancaster,https://www.lbc.edu
Lebanon Valley College,Annville,https://www.lvc.edu
Lincoln University,Lincoln University,https://www.lincoln.edu
Lycoming College,Williamsport,https://www.lycoming.edu
Manor College,Jenkintown,https://manor.edu
Marywood University,Scranton,https://www.marywood.edu
Mercyhurst University,Erie,https://www.mercyhurst.edu
Messiah University,Mechanicsburg,https://www.messiah.edu
Millersville University of Pennsylvania,Millersville,https://www.millersville.edu
Misericordia University,Dallas,https://www.misericordia.edu
