institute,city,url
Inter American University of Puerto Rico,San Juan,https://www.inter.edu
University of Puerto Rico,San Juan,https://www.upr.edu
"Carlos Albizu University - San Juan
Albizu University - Miami",Doral,https://www.albizu.edu/miami
"NUC University
NUC University - Florida Technical College - Deland",DeLand,https://www.ftccollege.edu/college-campus/deland-florida
"NUC University
NUC University - Florida Technical College - Kissimmee",Kissimmee,https://www.ftccollege.edu/college-campus/kissimmee-florida
"NUC University
NUC University - Florida Technical College - Lakeland",Lakeland,https://www.ftccollege.edu/college-campus/lakeland-florida
"NUC University
NUC University - Florida Technical College - Orlando",Orlando,https://www.ftccollege.edu/college-campus/orlando-florida
"NUC University
NUC University - Florida Technical College - Pembroke Pines",Pembroke Pines,https://www.ftccollege.edu/college-campus/pembroke-pines-florida
"NUC University
NUC University - Florida Technical College - South Miami","Cutler Bay, FL 33189",https://www.ftccollege.edu/college-campus/south-miami-florida
"NUC University
NUC University - Florida Technical College - Tampa",Tampa,https://www.ftccollege.edu/college-campus/tampa-florida
"Polytechnic University of Puerto Rico
Polytechnic University of Puerto Rico - Miami",Miami,https://www.pupr.edu/miami
"Polytechnic University of Puerto Rico
Polytechnic University of Puerto Rico - Orlando Campus",Orlando,https://www.pupr.edu/orlando
"Ponce School of Medicine and Health Sciences
Ponce Health Sciences University-St Louis",Saint Louis,https://stlouis.psm.edu
American University of Puerto Rico,Bayamón,http://www.aupr.edu
Antillean Adventist University,Mayaguez,http://www.uaa.edu
Atenas College,Manati,http://atenascollege.edu
Atlantic University College,Guaynabo,http://www.atlanticu.edu
Bayamón Central University,Bayamón,http://www.ucb.edu.pr
Caribbean University,Bayamón,http://www.caribbean.edu
Carlos Albizu University - San Juan,San Juan,http://www.albizu.edu
Central University of the Caribbean,Bayamón,http://www.uccaribe.edu
Centre for Advanced Studies on Puerto Rico and the Caribbean,Viejo San Juan,http://www.ceaprc.org
Conservatory of Music of Puerto Rico,San Juan,http://www.cmpr.edu/
Dewey University-Hato Rey,San Juan,http://www.dewey.edu
EDP Univeristy of Puerto Rico Inc-San Juan,San Juan,http://www.edpuniversity.edu/
Inter American University of Puerto Rico-Aguadilla Campus,Aguadilla,http://aguadilla.inter.edu
Inter American University of Puerto Rico-Arecibo Campus,Arecibo,http://www.arecibo.inter.edu
Inter American University of Puerto Rico-Barranquitas Campus,Barranquitas,http://www.br.uipr.edu/inter/
Inter American University of Puerto Rico-Bayamon Campus,Bayamón,http://bc.inter.edu/
Inter American University of Puerto Rico-Fajardo Campus,Fajardo,http://fajardo.inter.edu
Inter American University of Puerto Rico-Guayama Campus,Guayama,http://guayama.inter.edu
Inter American University of Puerto Rico-Metro Campus,San Juan,http://metro.inter.edu
Inter American University of Puerto Rico-Ponce Campus,Ponce,http://ponce.inter.edu/
Inter American University of Puerto Rico-San Germán Campus,San Germán,http://www.sg.inter.edu
Inter American University of Puerto Rico-School of Law,San Juan,http://www.derecho.inter.edu/
Inter American University of Puerto Rico-School of Optometry,Bayamón,http://optonet.inter.edu/
Metropolitan University,San Juan,http://www.suagm.edu/umet
National College of Business and Technology,Bayamón,http://www.nuc.edu
Polytechnic University of Puerto Rico,San Juan,http://www.pupr.edu
Ponce School of Medicine and Health Sciences,Ponce,http://www.psm.edu/
Pontifical Catholic University of Puerto Rico-Arecibo Campus,Arecibo,http://www.pucpr.edu/arecibo
Pontifical Catholic University of Puerto Rico-Mayaguez Campus,Mayaguez,http://mayaguez.pucpr.edu/
Pontifical Catholic University of Puerto Rico-Ponce Campus,Ponce,http://www.pucpr.edu
San Juan Bautista School of Medicine,Caguas,http://www.sanjuanbautista.edu
School of Plastic Arts of Puerto Rico,San Juan,http://www.eap.edu/
University College of San Juan,San Juan,http://www.cunisanjuan.edu
University of Puerto Rico at Aguadilla,Aguadilla,http://www.uprag.edu/
University of Puerto Rico at Arecibo,Arecibo,http://www.upra.edu
University of Puerto Rico at Bayamón,Bayamón,http://www.uprb.edu/
University of Puerto Rico at Carolina,Carolina,http://www.uprc.edu/
University of Puerto Rico at Cayey,Cayey,http://www.cayey.upr.edu/
University of Puerto Rico at Humacao,Humacao,http://www.uprh.edu/
University of Puerto Rico at Mayagüez,Mayaguez,http://www.uprm.edu/
University of Puerto Rico at Rio Piedras,San Juan,http://www.uprrp.edu
University of Puerto Rico at Utuado,Utuado,http://www.uprutuado.edu/
University of Puerto Rico in Ponce,Ponce,http://www.uprp.edu
University of Puerto Rico-Medical Sciences Campus,San Juan,http://www.rcm.upr.edu
University of the East,Carolina,http://www.suagm.edu/une/
University of the Sacred Heart,San Juan,http://www.sagrado.edu/
University of Turabo,Gurabo,http://www.suagm.edu/ut
