institute,city,url
Brown University,Providence,https://www.brown.edu
Bryant University,Smithfield,https://www.bryant.edu
College Unbound,Providence,https://www.collegeunbound.edu
Johnson and Wales University-Providence,Providence,https://www.jwu.edu/campuses/providence
New England Institute of Technology,East Greenwich,https://www.neit.edu
Providence College,Providence,https://www.providence.edu
Rhode Island College,Providence,https://www.ric.edu
Rhode Island School of Design,Providence,https://www.risd.edu
Roger Williams University,Bristol,https://www.rwu.edu
"Roger Williams University
Roger Williams University School of Law",Bristol,https://law.rwu.edu
Salve Regina University,Newport,http://www.salve.edu
University of Rhode Island,Kingston,https://www.uri.edu
