institute,city,url
Francis Marion University,Florence,https://www.fmarion.edu
Allen University,Columbia,https://allenuniversity.edu
Anderson University,Anderson,https://andersonuniversity.edu
Benedict College,Columbia,https://www.benedict.edu
Bob Jones University,Greenville,https://www.bju.edu
Charleston School of Law,Charleston,https://www.charlestonlaw.edu
Charleston Southern University,Charleston,https://www.charlestonsouthern.edu
Citadel Military College of South Carolina,Charleston,https://www.citadel.edu
Claflin University,Orangeburg,https://www.claflin.edu
Clemson University,Clemson,https://www.clemson.edu
Clinton College,Rock Hill,https://www.clintoncollege.edu
Coastal Carolina University,Conway,https://www.coastal.edu
Coker University,Hartsville,https://www.coker.edu
College of Charleston,Charleston,https://cofc.edu
Columbia College,Columbia,https://www.columbiasc.edu
Columbia International University,Columbia,https://www.ciu.edu
Converse University,Spartanburg,https://www.converse.edu
Erskine College,Due West,https://www.erskine.edu
Furman University,Greenville,https://www.furman.edu
Lander University,Greenwood,https://www.lander.edu
Limestone University,Gaffney,https://www.limestone.edu
Medical University of South Carolina,Charleston,https://web.musc.edu
Morris College,Sumter,https://www.morris.edu
Newberry College,Newberry,https://www.newberry.edu
North Greenville University,Tigerville,https://ngu.edu
Presbyterian College,Clinton,https://www.presby.edu
Sherman College of Chiropractic,Spartanburg,https://www.sherman.edu
South Carolina State University,Orangeburg,https://scsu.edu
South University-Columbia,Columbia,https://www.southuniversity.edu/columbia
Southern Wesleyan University,Central,https://www.swu.edu
Spartanburg Methodist College,Spartanburg,https://www.smcsc.edu
Strayer University-South Carolina,Greenville,https://www.strayer.edu/campus-locations/south-carolina/greenville
University of South Carolina,Columbia,https://www.sc.edu
University of South Carolina-Aiken,Aiken,https://www.usca.edu
University of South Carolina-Beaufort,Bluffton,https://www.uscb.edu
University of South Carolina-Upstate,Spartanburg,https://www.uscupstate.edu
Voorhees University,Denmark,https://voorhees.edu
Winthrop University,Rock Hill,https://www.winthrop.edu
Wofford College,Spartanburg,https://www.wofford.edu
