institute,city,url
Augustana College,Sioux Falls,http://www.augie.edu
Black Hills State University,Spearfish,http://www.bhsu.edu
Dakota State University,Madison,http://www.dsu.edu
Dakota Wesleyan University,Mitchell,http://www.dwu.edu
Mount Marty College,Yankton,http://www.mtmc.edu
National American University,Rapid City,https://www.national.edu
Northern State University,Aberdeen,http://www.northern.edu
Oglala Lakota College,Kyle,http://www.olc.edu
Presentation College,Aberdeen,http://www.presentation.edu/
Sinte Gleska University,Mission,http://www.sintegleska.edu
South Dakota School of Mines and Technology,Rapid City,http://www.sdsmt.edu
South Dakota State University,Brookings,http://www.sdstate.edu
University of Sioux Falls,Sioux Falls,http://www.usiouxfalls.edu
University of South Dakota,Vermillion,http://www.usd.edu
