institute,city,url
"Johnson University
Johnson University Florida",Kissimmee,https://johnsonu.edu
Aquinas College,Nashville,http://www.aquinascollege.edu
Austin Peay State University,Clarksville,http://www.apsu.edu
Baptist Memorial College of Health Sciences,Memphis,http://www.bchs.edu
Belmont University,Nashville,http://www.belmont.edu
Bethel College,McKenzie,http://www.bethelu.edu/
Bryan College,Dayton,http://www.bryan.edu
Carson-Newman University,Jefferson City,http://www.cn.edu
Christian Brothers University,Memphis,http://www.cbu.edu
Cumberland University,Lebanon,http://www.cumberland.edu
East Tennessee State University,Johnson City,http://www.etsu.edu
Fisk University,Nashville,https://www.fisk.edu
Freed-Hardeman University,Henderson,http://www.fhu.edu
Huntington College of Health Sciences,Knoxville,http://hchs.edu
Johnson University,Knoxville,http://www.johnsonu.edu/
King College,Bristol,http://www.king.edu
Lane College,Jackson,http://www.lanecollege.edu
Lee University,Cleveland,http://www.leeuniversity.edu
LeMoyne-Owen College,Memphis,http://www.loc.edu
Lincoln Memorial University,Harrogate,http://www.lmunet.edu
Lipscomb University,Nashville,http://www.lipscomb.edu
Martin Methodist College,Pulaski,http://martinmethodist.edu
Maryville College,Maryville,http://www.maryvillecollege.edu/
Meharry Medical College,Nashville,http://www.mmc.edu
Middle Tennessee School of Anesthesia,Madison,http://www.mtsa.edu
Middle Tennessee State University,Murfreesboro,http://www.mtsu.edu
Milligan College,Milligan College,http://www.milligan.edu
Nossi College of Art,Goodlettsville,http://www.nossi.com
Oxford Graduate School,Dayton,http://www.ogs.edu
Rhodes College,Memphis,http://www.rhodes.edu
South College,Knoxville,http://www.southcollegetn.edu
Southern Adventist University,Collegedale,http://www.southern.edu
Southern College of Optometry,Memphis,http://www.sco.edu
Tennessee State University,Nashville,http://www.tnstate.edu
Tennessee Technological University,Cookeville,http://www.tntech.edu
Tennessee Wesleyan College,Athens,http://www.twcnet.edu
The University of Memphis,Memphis,http://www.memphis.edu
The University of Tennessee at Chattanooga,Chattanooga,http://www.utc.edu
The University of Tennessee at Martin,Martin,http://www.utm.edu
The University of Tennessee-Knoxville,Knoxville,http://www.utk.edu
The University of the South,Sewanee,http://www.sewanee.edu
Trevecca Nazarene University,Nashville,http://www.trevecca.edu
Tusculum College,Greenville,http://www.tusculum.edu
Union University,Jackson,http://www.uu.edu
University of Tennessee Space Institute,Tullahoma,http://www.utsi.edu/
University of Tennessee-Health Science Center,Memphis,http://www.uthsc.edu
Vanderbilt University,Nashville,https://www.vanderbilt.edu
Welch College,Nashville,http://www.welch.edu
Williamson Christian College,Franklin,http://www.williamsoncc.edu
