institute,city,url
Abilene Christian University,Abilene,https://acu.edu
Amberton University,Garland,https://www.amberton.edu
American College of Acupuncture and Oriental Medicine,Houston,https://www.acaom.edu
American InterContinental University-Houston,Houston,https://www.aiuniv.edu/online-campus/campus-locations/houston
Angelo State University,San Angelo,https://www.angelo.edu
AOMA Graduate School of Integrative Medicine,Austin,https://www.aoma.edu
Arlington Baptist University,Arlington,https://www.abu.edu
Austin College,Sherman,https://www.austincollege.edu
Bakke Graduate University,Dallas,https://bgu.edu
Baptist Health System School of Health Professions,San Antonio,https://www.bshp.edu
Baylor College of Medicine,Houston,https://www.bcm.edu
Baylor University,Waco,https://www.baylor.edu
Brazosport College,Lake Jackson,https://www.brazosport.edu
"Columbia College
Columbia College - Fort Worth",Fort Worth,https://www.ccis.edu/locations/fort-worth
"Columbia College
Columbia College - Mesquite",Dallas,https://www.ccis.edu/locations/mesquite
Concordia University-Texas,Austin,https://www.concordia.edu
Criswell College,Dallas,https://www.criswell.edu
Dallas Baptist University,Dallas,https://www.dbu.edu
Dallas Christian College,Dallas,https://www.dallas.edu
"DeVry University - Illinois
DeVry University-Texas",Irving,https://www.devry.edu/about/campus-locations/texas/irving.html
East Texas Baptist University,Marshall,https://www.etbu.edu
"ECPI University
ECPI University - San Antonio",San Antonio,https://www.ecpi.edu/locations/san-antonio-tx
Galen College of Nursing-San Antonio,San Antonio,https://galencollege.edu/campuses/san-antonio
Gemini School of Visual Arts & Communication,Austin,https://www.geminischool.com
Hallmark University,San Antonio,https://hallmarkuniversity.edu
Hardin-Simmons University,Abilene,https://www.hsutx.edu
Houston Christian University,Houston,https://hc.edu
Howard Payne University,Brownwood,https://www.hputx.edu
Huston-Tillotson University,Austin,https://htu.edu
Jarvis Christian University,Hawkins,https://www.jarvis.edu
Lamar University,Beaumont,https://www.lamar.edu
LeTourneau University,Longview,https://www.letu.edu
Lubbock Christian University,Lubbock,https://lcu.edu
McMurry University,Abilene,https://mcm.edu
Midland College,Midland,https://www.midland.edu
Midwestern State University,Wichita Falls,https://msutexas.edu
North American University,Houston,https://www.na.edu
Our Lady of the Lake University,San Antonio,https://www.ollusa.edu
Parker University,Dallas,https://www.parker.edu
Paul Quinn College,Dallas,https://paulquinn.edu
Prairie View A&M University,Prairie View,https://www.pvamu.edu
"Relay Graduate School of Education
Relay Graduate School of Education - Dallas-Fort Worth",Arlington,https://www.relay.edu/location/texas
"Relay Graduate School of Education
Relay Graduate School of Education - Houston",Houston,https://www.relay.edu/location/texas
"Relay Graduate School of Education
Relay Graduate School of Education - San Antonio",San Antonio,https://www.relay.edu/location/texas
Remington College-Dallas Campus,Dallas,https://www.remingtoncollege.edu/locations/dallas/?loc=2247
Rice University,Houston,https://www.rice.edu
Saint Edward's University,Austin,https://www.stedwards.edu
Sam Houston State University,Huntsville,https://www.shsu.edu
Schreiner University,Kerrville,https://schreiner.edu
South Texas College,McAllen,https://www.southtexascollege.edu
South Texas College of Law Houston,Houston,https://www.stcl.edu
Southern Methodist University,Dallas,https://www.smu.edu
Southwest University at El Paso,El Paso,https://www.southwestuniversity.edu
Southwestern Adventist University,Keene,https://swau.edu
Southwestern Assemblies of God University,Waxahachie,https://www.sagu.edu
Southwestern University,Georgetown,https://www.southwestern.edu
St Mary's University,San Antonio,https://www.stmarytx.edu
Stephen F. Austin State University,Nacogdoches,https://www.sfasu.edu
Strayer University-North Dallas Campus,Farmers Branch,https://www.strayer.edu
Sul Ross State University,Alpine,https://www.sulross.edu
Tarleton State University,Stephenville,https://www.tarleton.edu
Texas A&M International University,Laredo,https://www.tamiu.edu
Texas A&M University,Tamu,https://www.tamu.edu
Texas A&M University Health Science Center,Bryan,https://www.tamhsc.edu
Texas A&M University-Central Texas,Killeen,https://www.tamuct.edu
Texas A&M University-Commerce,Commerce,https://www.tamuc.edu
Texas A&M University-Corpus Christi,Corpus Christi,https://www.tamucc.edu
Texas A&M University-Kingsville,Kingsville,https://www.tamuk.edu
Texas A&M University-San Antonio,San Antonio,https://www.tamusa.edu
Texas A&M University-Texarkana,Texarkana,https://www.tamut.edu
