institute,city,url
Bottega University,Salt Lake City,https://bottega.edu
Brigham Young University,Provo,https://www.byu.edu
"Columbia College
Columbia College-Salt Lake",Murray,https://www.ccis.edu/locations/salt-lake
Eagle Gate College-Layton,"Layton, UT 84041",https://www.eaglegatecollege.edu/locations/layton
Eagle Gate College-Murray,"Murray, UT 84123",https://www.eaglegatecollege.edu/locations/murray
Ensign College,Salt Lake City,https://www.ensign.edu
Joyce University of Nursing and Health Sciences,Draper,https://www.joyce.edu
Midwives College of Utah,Salt Lake City,https://www.midwifery.edu
Neumont College of Computer Science,Salt Lake City,https://www.neumont.edu
Nightingale College,Salt Lake City,https://www.nightingale.edu
Provo College,Provo,https://www.provocollege.edu
Rocky Mountain University of Health Professions,Provo,https://rm.edu
"Rocky Vista University
Rocky Vista University-Southern Utah",Ivins,https://www.rvu.edu/ut
Snow College,Ephraim,https://www.snow.edu
Southern Utah University,Cedar City,https://www.suu.edu
The University of Utah,Salt Lake City,https://www.utah.edu
Utah College of Dental Hygiene at Careers Unlimited,Orem,https://www.ucdh.edu
Utah State University,Logan,https://www.usu.edu
Utah Tech University,Saint George,https://utahtech.edu
Utah Valley University,Orem,https://www.uvu.edu
Weber State University,Ogden,https://www.weber.edu
Western Governors University,Salt Lake City,https://www.wgu.edu
Westminster University,Salt Lake City,https://westminsteru.edu
