institute,city,url
Bennington College,Bennington,http://www.bennington.edu
Burlington College,Burlington,http://www.burlington.edu/
Castleton State College,Castleton,http://www.castleton.edu
Champlain College,Burlington,http://www.champlain.edu
College of St. Joseph,Rutland,http://www.csj.edu
Goddard College,Plainfield,http://www.goddard.edu
Green Mountain College,Poultney,http://www.greenmtn.edu
Johnson State College,Johnson,http://www.jsc.edu
Lyndon State College,Lyndonville,http://www.lyndonstate.edu
Marlboro College,Marlboro,http://www.marlboro.edu
Middlebury College,Middlebury,http://www.middlebury.edu
New England Culinary Institute,Montpelier,http://www.neci.edu
Norwich University,Northfield,http://www.norwich.edu
Saint Michael's College,Colchester,http://www.smcvt.edu
SIT Graduate Institute,Brattleboro,https://graduate.sit.edu
Southern Vermont College,Bennington,http://www.svc.edu
Sterling College,Craftsbury Common,http://www.sterlingcollege.edu
University of Vermont,Burlington,http://www.uvm.edu
Vermont Law School,South Royalton,http://www.vermontlaw.edu
Vermont Technical College,Randolph Center,http://www.vtc.edu
