institute,city,url
James Madison University,Harrisonburg,https://www.jmu.edu
"ECPI University
ECPI University - Orlando",Orlando (Lake Mary),https://www.ecpi.edu/locations/orlando-lake-mary-fl
"ECPI University
ECPI University-Charlotte",Charlotte,https://www.ecpi.edu
"ECPI University
ECPI University-Greensboro",Greensboro,https://www.ecpi.edu/locations/greensboro-nc
"ECPI University
ECPI University-Raleigh",Raleigh,https://www.ecpi.edu/locations/raleigh-nc
"ECPI University
ECPI University - San Antonio",San Antonio,https://www.ecpi.edu/locations/san-antonio-tx
American National University Virginia,Charlottesville,https://www.an.edu/
Appalachian School of Law,Grundy,http://www.asl.edu
Atlantic University,Virginia Beach,http://www.atlanticuniv.edu
Averett University,Danville,http://www.averett.edu
Bluefield College,Bluefield,http://www.bluefield.edu
Bon Secours Memorial College of Nursing,Richmond,http://www.bsmcon.edu
Bridgewater College,Bridgewater,http://www.bridgewater.edu
Bryant and Stratton College,Virginia Beach,http://www.bryantstratton.edu
Christendom College,Front Royal,http://www.christendom.edu
Christopher Newport University,Newport News,http://www.cnu.edu
College of William and Mary,Williamsburg,http://www.wm.edu
DeVry University - Virginia,Arlington,http://www.crys.devry.edu
Eastern Mennonite University,Harrisonburg,http://www.emu.edu
Eastern Virginia Medical School,Norfolk,http://www.evms.edu
ECPI University,Virginia Beach,http://www.ecpi.edu
Emory and Henry College,Emory,http://www.ehc.edu
Ferrum College,Ferrum,http://www.ferrum.edu
George Mason University,Fairfax,http://www.gmu.edu
Hampden-Sydney College,Hampden-Sydney,http://www.hsc.edu
Hampton University,Hampton,http://www.hamptonu.edu
Hollins University,Roanoke,http://www.hollins.edu
IGlobal University,Vienna,https://www.igu.edu
Institute for the Psychological Sciences,Arlington,http://ipsciences.edu
Liberty University,Lynchburg,http://www.liberty.edu
Longwood University,Farmville,http://www.longwood.edu
Lynchburg College,Lynchburg,http://www.lynchburg.edu
Mary Baldwin College,Staunton,http://www.mbc.edu
Marymount University,Arlington,http://www.marymount.edu
Norfolk State University,Norfolk,http://www.nsu.edu
Old Dominion University,Norfolk,http://www.odu.edu
Radford University,Radford,http://www.radford.edu
Randolph College,Lynchburg,http://www.randolphcollege.edu
Randolph-Macon College,Ashland,http://www.rmc.edu
Regent University,Virginia Beach,http://www.regent.edu
Roanoke College,Salem,http://www.roanoke.edu
Shenandoah University,Winchester,http://www.su.edu
Southern Virginia University,Buena Vista,http://svu.edu/
Sweet Briar College,Sweet Briar,http://www.sbc.edu
The University of Virginia's College at Wise,Wise,http://www.uvawise.edu
University of Management and Technology,Arlington,http://www.umtweb.edu
University of Mary Washington,Fredericksburg,http://www.umw.edu
University of Richmond,Richmond,http://www.richmond.edu
University of Virginia,Charlottesville,https://www.virginia.edu
Virginia Commonwealth University,Richmond,http://www.vcu.edu
Virginia Polytechnic Institute and State University,Blacksburg,http://www.vt.edu
Virginia State University,Petersburg,http://www.vsu.edu
Virginia Union University,Richmond,http://www.vuu.edu
Virginia University of Lynchburg,Lynchburg,http://www.vul.edu
Virginia Wesleyan College,Norfolk,http://www.vwc.edu
Washington and Lee University,Lexington,http://www.wlu.edu
