institute,city,url
Antioch University Seattle,Seattle,http://www.antiochsea.edu
Bakke Graduate University,Seattle,http://www.bgu.edu
Bastyr University,Kenmore,https://www.bastyr.edu
Central Washington University,Ellensburg,http://www.cwu.edu
Charter College,Vancouver,https://www.chartercollege.edu
City University of Seattle,Bellevue,http://www.cityu.edu
Cornish College of the Arts,Seattle,http://www.cornish.edu
DigiPen Institute of Technology,Redmond,http://www.digipen.edu
Eastern Washington University,Cheney,http://www.ewu.edu
Gonzaga University,Spokane,http://www.gonzaga.edu
Heritage University,Toppenish,http://www.heritage.edu
North Seattle College,Seattle,https://northseattle.edu
Northwest College of Art and Design,Tacoma,http://ncad.edu
Northwest Indian College,Bellingham,http://www.nwic.edu
Northwest University,Kirkland,http://www.northwestu.edu
Pacific Lutheran University,Tacoma,http://www.plu.edu
Peninsula College,Port Angeles,http://www.pc.ctc.edu
Saint Martin's University,Lacey,http://www.stmartin.edu
Seattle Film Institute,Seattle,https://www.sfi.edu/#home
Seattle Pacific University,Seattle,http://www.spu.edu
Seattle School of Theology and Psychology,Bothell,http://theseattleschool.edu
Seattle University,Seattle,http://www.seattleu.edu
The Evergreen State College,Olympia,http://www.evergreen.edu
Trinity Lutheran College,Issaquah,http://www.tlc.edu
University of Puget Sound,Tacoma,http://www.ups.edu
University of Washington,Seattle,http://www.washington.edu
Walla Walla University,College Place,http://www.wwc.edu
Washington State University,Pullman,http://www.wsu.edu
Western Washington University,Bellingham,http://www.wwu.edu
Whitman College,Walla Walla,http://www.whitman.edu
Whitworth University,Spokane,http://www.whitworth.edu
