institute,city,url
Fairmont State University,Fairmont,https://www.fairmontstate.edu
American Public University System,Charles Town,https://www.apus.edu
Bethany College,Bethany,http://www.bethanywv.edu
Bluefield State College,Bluefield,http://www.bluefieldstate.edu
Concord University,Athens,http://www.concord.edu
Davis and Elkins College,Elkins,http://www.dewv.edu
Future Generations University,Franklin,http://www.future.edu
Glenville State College,Glenville,http://www.glenville.edu
Marshall University,Huntington,http://www.marshall.edu
Salem University,Salem,http://www.salemu.edu
Shepherd University,Shepherdstown,http://www.shepherd.edu
Strayer University-West Virginia,Scott Depot,https://www.strayer.edu/campus-locations/west-virginia/teays-valley
The University of Charleston,Charleston,http://www.ucwv.edu
West Liberty University,West Liberty,http://www.westliberty.edu
West Virginia School of Osteopathic Medicine,Lewisburg,http://www.wvsom.edu
West Virginia State University,Institute,http://www.wvstateu.edu
West Virginia University,Morgantown,http://www.wvu.edu
West Virginia University at Parkersburg,Pakersburg,http://www.wvup.edu
West Virginia University Institute of Technology,Montgomery,http://www.wvutech.edu
West Virginia Wesleyan College,Buckhannon,http://www.wvwc.edu
Wheeling Jesuit University,Wheeling,http://www.wju.edu
