institute,city,url
"Midwest College of Oriental Medicine-Wisconsin
Midwest College of Oriental Medicine - Skokie",Skokie,https://acupuncture.edu
"Concordia University-Wisconsin
Concordia University-Ann Arbor",Ann Arbor,https://www.cuaa.edu
Alverno College,Milwaukee,http://www.alverno.edu
Bellin College,Green Bay,http://www.bellincollege.edu
Beloit College,Beloit,http://www.beloit.edu
Bryant and Stratton College,Mount Pleasant,http://www.bryantstratton.edu
Carroll University,Waukesha,http://www.carrollu.edu
Carthage College,Kenosha,http://www.carthage.edu
College of Menominee Nation,Keshena,http://www.menominee.edu
Concordia University-Wisconsin,Mequon,http://www.cuw.edu
Edgewood College,Madison,http://www.edgewood.edu
Lakeland College,Sheboygan,http://www.lakeland.edu
Lawrence University,Appleton,http://www.lawrence.edu
Maranatha Baptist University,Watertown,http://www.mbu.edu
Marian University,Fond du Lac,http://www.marianuniversity.edu
Marquette University,Milwaukee,http://www.mu.edu
Medical College of Wisconsin,Milwaukee,http://www.mcw.edu
Midwest College of Oriental Medicine-Wisconsin,Racine,http://www.acupuncture.edu/midwest/index.html
Milwaukee Institute of Art and Design,Milwaukee,http://www.miad.edu
Milwaukee School of Engineering,Milwaukee,http://www.msoe.edu
Mount Mary College,Milwaukee,http://www.mtmary.edu
Northland College,Ashland,http://www.northland.edu
Rasmussen College,Green Bay,https://www.rasmussen.edu/locations/wisconsin/
Ripon College,Ripon,http://www.ripon.edu
Saint Norbert College,De Pere,http://www.snc.edu
University of Wisconsin-Eau Claire,Eau Claire,http://www.uwec.edu
University of Wisconsin-Green Bay,Green Bay,http://www.uwgb.edu
University of Wisconsin-La Crosse,La Crosse,http://www.uwlax.edu
University of Wisconsin-Madison,Madison,http://www.wisc.edu
University of Wisconsin-Milwaukee,Milwaukee,http://www.uwm.edu
University of Wisconsin-Oshkosh,Oshkosh,http://www.uwosh.edu
University of Wisconsin-Parkside,Kenosha,http://www.uwp.edu
University of Wisconsin-Platteville,Platteville,http://www.uwplatt.edu
University of Wisconsin-River Falls,River Falls,http://www.uwrf.edu
University of Wisconsin-Stevens Point,Stevens Point,http://www.uwsp.edu
University of Wisconsin-Stout,Menomonie,http://www.uwstout.edu
University of Wisconsin-Superior,Superior,http://www.uwsuper.edu
University of Wisconsin-Whitewater,Whitewater,http://www.uww.edu
Viterbo University,La Crosse,http://www.viterbo.edu
Wisconsin Lutheran College,Milwaukee,http://www.wlc.edu
Wisconsin School of Professional Psychology,Milwaukee,http://www.wspp.edu
