institute,city,url
Alfred Nobel University,Dnipro,https://duan.edu.ua
Dnipro Medical Institute of Traditional and Non-Traditional Medicine,Dnipro,https://dnipromedicalinstitute.com
Dnipropetrovsk State University of Internal Affairs,Dnipro,https://dduvs.in.ua
European University,Kyiv,https://e-u.edu.ua
Kharkiv National Medical University,Kharkiv,https://knmu.edu.ua
"Kharkiv University for the Humanities ""People’s Ukrainian Academy""",Kharkiv,https://nua.kharkov.ua
Kyiv National University of Technologies and Design,Kyiv,https://knutd.edu.ua
Kyiv School of Economics,Kyiv,https://kse.ua
Kyjivs’kyj universytet imeni Borysa Hrinčenka,Kyiv,https://kubg.edu.ua
Lesya Ukrainka Volyn National University,Lutsk,https://vnu.edu.ua
National Pedagogical Dragomanov University,Kyiv,https://npu.edu.ua
Poltava State Medical University,Poltava,https://www.pdmu.edu.ua
Pylyp Orlyk International Classical University,Mykolaiv,https://mku.edu.ua
Sumy State University,Sumy,https://sumdu.edu.ua
Taras Shevchenko National University of Kyiv,Kyiv,https://www.knu.ua
V.N. Karazin Kharkiv National University,Kharkiv,https://karazin.ua
Vinnytsia National Technical University,Vinnitsa,https://vntu.edu.ua
Academician Stepan Demianchuk International University of Economics and Humanities,Rivne,http://www.megu.edu.ua
Academician Y. Bugay International Scientific and Technical University,Kyiv,http://istu.edu.ua
Academy of Advocacy of Ukraine,Kyiv,http://www.aau.edu.ua
"Academy of Labour, Social Relations and Tourism",Kyiv,http://www.socosvita.kiev.ua
Academy of Recreational Technologies and Law,Lutsk,Webpage-Not-Found
Admiral Makarov National University of Shipbuilding,Mykolaiv,http://www.nuos.edu.ua/en
Augustine Voloshyn Carpathian University,Uzhhorod,www.kau.com.ua
Banking University,Kyiv,http://ubs.edu.ua
Berdyansk State Pedagogical University,Berdiansk,http://bdpu.org
Berdyansk University of Management and Business,Berdjansk,http://bumib.edu.ua
Bila Tserkva National Agrarian University,Bila Tserkva,http://www.btsau.kiev.ua
Bogdan Khmelnitsky Melitopol State Pedagogical University,Melitopol,http://mdpu.org.ua
Bogomolets National Medical University,Kyiv,http://nmu.ua
Bohdan Khmelnytsky National University of Cherkasy,Cherkasy,http://www.cdu.edu.ua
Boryspil Institute of Municipal Management,Boryspil,https://bimmmaup.jimdo.com
Bukovinian State Medical University,Chernivtsi,http://www.bsmu.edu.ua
Bukovinian University,Chernivtsi,http://www.bukuniver.edu.ua
Central Ukrainian National Technical University,Kropyvnytskiy,https://www.krntu.com
Cherkasy Chernobyl Heroes Institute of Fire Safety,Cherkasy,http://fire.ck.ua
"Cherkasy Chernobyl Heroes Institute of Fire Safety
National University of Civil Defence of Ukraine",Kharkiv,http://nuczu.edu.ua
Cherkasy Medical Academy,Cherkasy,http://medcollege.ck.ua
Cherkasy State Technological University,Cherkasy,https://chdtu.edu.ua
Chernihiv National University of Technology,Chernihiv,https://en.stu.cn.ua
Classic Private University,Zaporizhia,http://www.zhu.edu.ua
Danylo Halytsky Lviv National Medical University,Lviv,http://www.meduniv.lviv.ua
Dmytro Motornyi Tavria State Agrotechnological University,Melitopol,http://www.tsatu.edu.ua
Dnipro State Agrarian and Economic University,Dnipro,http://www.dsau.dp.ua
Dnipro State Medical University,Dnipro,https://dmu.edu.ua/ua
Dnipro University of the Humanities,Dnipro,https://dgu.edu.ua
Dnipropetrovsk Academy of Music named after M. Glinka,Dnipro,http://www.dk.dp.ua
"Dnipropetrovsk Regional Institute for Public Administration, National Academy for Public Administration under the President of Ukraine",Dnipro,http://dridu.dp.ua
Dniprovsk State Technical University,Kamianske,http://www.dstu.dp.ua
Donbas National Academy of Civil Engineering and Architecture,Makejevka,http://donnasa.org
Donbass State Engineering Academy,Kramatorsk,http://www.dgma.donetsk.ua
Donbass State Pedagogical University,Sloviansk,http://www.slavdpu.dn.ua
"Donbass State Pedagogical University
Horlivka Institute of Foreign Languages SHEI (""Donbas State Pedagogical University"")",Bakhmut,http://forlan.org.ua
Donetsk Law Institute of the Ministry of Internal Affairs of Ukraine,Kryvyi Rih,http://www.dli.donetsk.ua
Donetsk National Medical University,Krasmatorsk,https://dnmu.edu.ua
Donetsk National Technical University,Pokrovsk,https://donntu.edu.ua
Donetsk National University of Economics and Trade named after Mikhail Tugan-Baranovsky,Kryvyi Rih,http://www.donnuet.edu.ua/index.php/en
Donetsk Regional Inservaise Teacher Training Institute,Kramatorsk,https://ippo.dn.ua
Donetsk State University of Management,Mariupol,http://www.dsum.edu.ua
Donetsk University of Economics and Law,Bakhmut,http://donuep.edu.ua
Drohobych Ivan Franko State Pedagogical University,Drohobych,http://dspu.edu.ua
East European University of Economics and Management,Cherkasy,http://suem.edu.ua
Ferenc Rakoczi II Transcarpathian Hungarian College of Higher Education,Berehovo,http://kmf.uz.ua/en
Filatov Institute of Eye Diseases and Tissue Therapy,Odessa,http://www.institut-filatova.com.ua/
Hennadii Udovenko Diplomatic Academy of Ukraine,Kyiv,http://da.mfa.gov.ua
I. Horbachevsky Ternopil National Medical University,Ternopil,http://www.tdmu.edu.te.ua
Institute of Business Administration,Kryvyi Rih,https://pvnz-ida.at.ua
"Institute of Design, Architecture and Journalism",Kyiv,http://www.ir.edu.ua
Institute of Ecology Economics and Law,Kyiv,http://ieep.org.ua
Institute of Electronic Physics of the National Academy of Sciences of Ukraine,Uzhhorod,Webpage-Not-Found
Institute of Environmental Geochemistry of the National Academy of Sciences of Ukraine,Kyiv,http://www.igns.gov.ua
Institute of Gifted Child of the National Academy of Educational Sciences of Ukraine,Kyiv,http://www.iod.gov.ua
Institute of Plant Physiology and Genetics of the National Academy of Sciences of Ukraine,Kyiv,http://www.ifrg.kiev.ua
Institute of Public Administration in the Sphere of Civil Protection,Kyiv,https://iducz.dsns.gov.ua
Institute of Screen Arts,Kyiv,Webpage-Not-Found
Inter-Regional Academy of Personnel Management,Kyiv,http://www.maup.com.ua
International Humanitarian University,Odessa,http://www.mgu.com.ua
International Institute of Business,Kyiv,www.iib.com.ua
International Management Institute,Kyiv,http://www.mim.kiev.ua
International University of Business and Law,Kherson,http://www.mubip.org.ua
International University of Finance,Kyiv,http://iuf.edu.ua
Ivan Franko National University of Lviv,Lviv,http://www.lnu.edu.ua
Ivan Kozhedub Kharkiv National Air Force University,Kharkiv,http://www.hups.mil.gov.ua
Ivano-Frankivsk National Medical University,Ivano-Frankivsk,http://www.ifnmu.edu.ua
Ivano-Frankivsk National Technical University of Oil and Gas,Ivano-Frankivsk,http://www.nung.edu.ua/en
Izmail State Humanitarian University,Izmayil,http://idgu.edu.ua
Kamianets-Podilskyi Ivan Ohiienko National University,Kamyanets-Podilsky,https://kpnu.edu.ua
Kharkiv H. Skovoroda National Pedagogical University,Kharkiv,http://hnpu.edu.ua
Kharkiv Humanitarian Pedagogical Academy,Kharkiv,http://www.hgpa.kharkov.com
Kharkiv Medical Academy of Postgraduate Education,Kharkiv,http://med.edu.ua
Kharkiv National Agrarian University named after V.V. Dokuchayev,Kharkiv,https://www.knau.kharkov.ua
Kharkiv National Automobile and Highway University,Kharkiv,http://www.khadi.kharkov.ua
Kharkiv National University of Arts named after I.P. Kotljarevskogo,Kharkiv,http://dum.kharkov.ua
Kharkiv National University of Construction and Architecture,Kharkiv,http://www.kstuca.kharkov.ua
Kharkiv National University of Internal Affairs,Kharkiv,http://www.univd.edu.ua
Kharkiv National University of Radio Electronics,Kharkiv,http://nure.ua/en
Kharkiv Petro Vasylenko National Technical University of Agriculture,Kharkiv,http://khntusg.com.ua
Kharkiv Regional Institute of Public Administration of the National Academy of Public Administration attached to the Office of the President of Ukraine,Kharkiv,www.kbuapa.kharkov.ua
Kharkiv State Academy of Culture,Kharkiv,http://www.ic.ac.kharkov.ua
Kharkiv State Academy of Design and Arts,Kharkiv,http://www.ksada.org
Kharkiv State Academy of Physical Culture,Kharkiv,http://hdafk.kharkov.ua
Kharkiv State University of Food Technology and Trade,Kharkiv,http://www.hduht.edu.ua/index.php/en
Kharkiv State Zooveterinary Academy,Kharkiv,https://hdzva.edu.ua
Kharkiv University of Economics and Law,Kharkiv,http://hepu.edu.ua
Kherson Academy of Continuing Education,Kherson,http://academy.ks.ua
Kherson Economics and Law Institute,Kherson,http://hepi.edu.ua
Kherson National Technical University,Kherson,http://kntu.net.ua
Kherson State Agrarian University,Kherson,http://ksau.kherson.ua
Kherson State Maritime Academy,Kherson,http://kma.ks.ua/en
Kherson State University,Kherson,http://www.kspu.edu
Khmelnitsky University of Economics,Khmelnitsky,http://kheu.km.ua
Khmelnytskiy Cooperative Trade and Economic Institute,Khmelnytskiy,http://www.xktei.km.ua
Khmelnytsky Humanitarian and Pedagogical Academy,Khmelnytsky,http://www.kgpa.km.ua
Khmelnytsky Institute of Regional Management and Law,Khmelnytsky,http://www.univer.km.ua
Khmelnytsky National University,Khmelnytsky,http://www.khnu.km.ua
Khortytsia National Educational and Rehabilitational Academy,Zaporizhia,https://khnnra.edu.ua
Kiev Institute of Business and Technology,Kyiv,https://kibit.edu.ua
Kiev Institute of Modern Psychology and Psychotherapy,Kyiv,http://www.kispp.com
Kiev Medical University,Kyiv,http://kmu.edu.ua
King Danylo University,Ivano-Frankivsk,http://www.iful.edu.ua
Kremenchuk National University named after Mykhaylo Ostrogradskiy,Kremenchuk,http://www.kdu.edu.ua
Kremenets regional humanitarian pedagogical institute named after Taras Shevchenko,Kremenets,www.kogpi.edu.te.ua
KrivorKryvyi Rih State Pedagogical University,Kryvyi Rih,http://kdpu.edu.ua
KROK University,Kyiv,http://www.int.krok.edu.ua
Kropyvnytskyi Institute of State and Municipal Governance,Kropyvnytskyi,http://kidmu.com.ua
Kryvyi Rih National University,Kryvyi Rih,http://www.knu.edu.ua
Kyiv Academy of Arts,Kyiv,http://www.kdam.kiev.ua
Kyiv Academy of Hairdressing,Kyiv,http://kapi.com.ua
Kyiv Cooperative Institute of Business and Law,Kyiv,https://kkibp.edu.ua
Kyiv Economic Institute of Management,Kyiv,http://ecoman-university.kiev.ua
Kyiv International University,Kyiv,http://www.kymu.edu.ua
Kyiv Municipal Academy of Circus and Variety Arts,Kyiv,https://kmaecm.edu.ua/
Kyiv National Economic University named after Vadym Hetman,Kyiv,https://kneu.edu.ua/en
"Kyiv National I. K. Karpenko-Kary Theatre, Cinema and Television University",Kyiv,http://www.knutkt.com.ua
Kyiv National Linguistics University,Kyiv,http://www.knlu.edu.ua
Kyiv National University of Construction and Architecture,Kyiv,http://www.knuba.edu.ua
Kyiv National University of Culture and Arts,Kyiv,http://knukim.edu.ua
Kyiv National University of Trade and Economics,Kyiv,https://knute.edu.ua
Kyiv Slavonic University,Kyiv,http://www.ksu.edu.ua
Kyiv State Institute of Decorative and Applied Art and Design named after Mykhailo Boychuk,Kyiv,http://kdidpmid.edu.ua
Kyiv University for Market Relations,Kyiv,http://kumr.edu.ua
Kyiv University of Culture,Kyiv,https://kuk-university.com
Kyiv University of Law of the National Academy of Sciences of Ukraine,Kyiv,http://www.kul.kiev.ua
"Kyiv University of Tourism, Economics and Law",Kyiv,http://www.kutep.ua
Lugansk National Agrarian University,Starobilsk,http://lnau.in.ua
Lugansk State Academy of Culture and Arts,Kyiv,https://ldakm.edu.ua
Lugansk State Medical University,Roubijne,http://www.lsmu.edu.ua
Lugansk State University of Internal Affairs named after E.O. Didorenka,Lugansk,http://www.lduvs.edu.ua
Lugansk Taras Shevchenko National University,Lugansk,http://www.luguniv.edu.ua
Luhansk Regional Institute of Postgraduate Teacher Education,Sievierodonetsk,http://loippo.edu.ua
Lutsk National Technical University,Lutsk,http://lutsk-ntu.com.ua/en
Lviv Institute of Economics and Tourism,Lviv,http://www.liet.lviv.ua
Lviv Institute of Management,Lviv,http://www.lim.lviv.ua
Lviv Medical Academy named after Andrei Krupinsky,Lviv,https://lma.edu.ua
Lviv Medical Institute,Lviv,http://www.medinstytut.lviv.ua
Lviv National Academy of Arts,Lviv,http://lnam.edu.ua
Lviv National Agrarian University,Dubliany,http://lnau.lviv.ua
Lviv National University of Veterinary Medicine and Biotechnology named after S.Z.Gztskyy,Lviv,http://lvet.edu.ua
Lviv Polytechnic National University,Lviv,http://www.lpnu.ua
Lviv Regional Institute for Public Administration of the National Academy for Public Administration under the President of Ukraine,Lviv,www.lvivacademy.com
Lviv State University of Internal Affairs,Lviv,http://www2.lvduvs.edu.ua
Lviv State University of Life Safety,Lviv,http://en.ldubgd.edu.ua
Lviv State University of Physical Culture named after Ivan Boberskij,Lviv,http://ldufk.edu.ua
Lviv University of Business and Law,Lviv,http://lubp.com.ua/en
Lviv University of Trade and Economics,Lviv,http://www.lute.lviv.ua
Mariupol State University,Mariupol,http://en.mdu.in.ua
"Melitopol Institute of Public Municipal Administration of the ""Classic Private University""",Melitopol,http://midmu-kpu.com.ua
Military Institute telecommunications and information,Kyiv,http://www.viti.edu.ua
Modern Art Research Institute of the National Academy of Arts of Ukraine,Kyiv,http://www.mari.kiev.ua
Mukachevo State University,Mukacheve,https://msu.edu.ua
Mykola Lysenko Lviv National Academy of Music,Lviv,http://conservatory.lviv.ua
Mykolaiv National Agrarian University,Mykolaiv,https://www.mnau.edu.ua
Mykolaiv V. Sukhomlynskyi National University,Mykolaiv,http://mdu.edu.ua
Mykolayiv Polytechnics,Mykolaiv,www.mpi.mk.ua
"National Academy of Fine Arts and Architecture, Kyiv",Kyiv,http://www.naoma.edu.ua
National Academy of Internal Affairs,Kyiv,https://www.naiau.kiev.ua
National Academy of Management,Kyiv,http://www.nam.kiev.ua
National Academy of National Guard of Ukraine,Kharkiv,http://nangu.edu.ua
National Academy of Public Administration under the President of Ukraine,Kyiv,http://www.academy.gov.ua
"National Academy of Statistics, Accounting and Audit",Kyiv,http://nasoa.edu.ua
National Academy of the State Border Guard Service of Ukraine named after Bohdan Khmelnytskyi,Khmelnitsky,https://dpsu.gov.ua/ua/structure/chastini-centralnogo-pidporyadkuvannya/nacionalna-akademiya-derzhavnoi-prikordonnoi-sluzhbi-ukraini-imeni-b-hmelnickogo/
National Aerospace University-Kharkiv Aviation Institute,Kharkiv,http://www.khai.edu
National Aviation University,Kyiv,http://www.nau.edu.ua
"National Aviation University
Kirovohrad Flight Academy of the National Aviation University",Kirovograd,http://glau.kr.ua
National Forestry University of Ukraine,Lviv,http://nltu.edu.ua
National Music Academy of Ukraine named after P.I. Tchaikovsky,Kyiv,http://www.knmau.com.ua
"National Pirogov Memorial Medical University, Vinnytsya",Vinnitsa,http://www.vnmu.vn.ua
National Prosecution academy of Ukraine,Kyiv,http://napu.com.ua
National Technical University - Kharkiv Polytechnic Institute,Kharkiv,http://www.kpi.kharkov.ua
National Technical University Dnipro Polytechnic,Dnipro,http://www.nmu.org.ua
National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”,Kyiv,http://kpi.ua
National Transport University,Kyiv,http://www.ntu.edu.ua
"National University ""Odessa Maritime Academy""",Odessa,http://www.onma.edu.ua
National University of Food Technologies,Kyiv,http://nuft.edu.ua
National University of Kyiv-Mohyla Academy,Kyiv,http://www.ukma.edu.ua
National University of Life and Environmental Sciences of Ukraine,Kyiv,http://nubip.edu.ua
National University of Pharmacy,Kharkiv,http://nuph.edu.ua
National University of Physical Education and Sport of Ukraine,Kyiv,http://www.uni-sport.edu.ua
National University of Water and Environmental Engineering,Rivne,www.nuwm.edu.ua
National University «Yuri Kondratyuk Poltava Polytechnic»,Poltava,https://nupp.edu.ua
National University “Odessa Law Academy”,Odessa,http://www.onua.edu.ua
Nikopol Economic University,Nikopol,http://www.neu.edu.ua
Nizhyn Gogol State University,Nizhyn,http://www.ndu.edu.ua
O.M. Beketov National University of Urban Economy in Kharkiv,Kharkiv,http://www.kname.edu.ua
O.S. Kolomiychenko Institute of Otolaryngology of the National Academy of Medical Sciences of Ukraine,Kyiv,Webpage-Not-Found
O.S. Popov Odessa National Academy of Telecommunications,Odessa,https://onat.edu.ua
Odesa National Medical University,Odesa,https://onmedu.edu.ua
Odesa Regional Institute of State Administration of the National Academy of State Administration under the President of Ukraine,Odessa,www.oridu.odessa.ua
Odesa State Academy of Technical Regulation and Quality,Odessa,https://osatrq.edu.ua
