institute,city,url
Canadian University Dubai,Dubai,https://www.cud.ac.ae
Hamdan Bin Mohammed Smart University,Dubai,https://www.hbmsu.ac.ae
Higher Colleges of Technology,Abu Dhabi,https://www.hct.ac.ae
Khawarizmi International College,Abu Dhabi,https://www.kic.ac.ae
New York University Abu Dhabi,Abu Dhabi,https://nyuad.nyu.edu/en
Abu Dhabi Polytechnic,Abu Dhabi,https://www.adpoly.ac.ae/En/Pages/Home.aspx
Abu Dhabi University,Abu Dhabi,https://www.adu.ac.ae/home
Ajman University,Ajman,https://www.ajman.ac.ae/en
Al Ain University,Al Ain,https://www.aau.ac.ae/en
Al Falah University,Abu Dhabi,https://afu.ac.ae/en
Al Ghurair University,Dubai,https://agu.ac.ae
Al Qasimia University,Sharjah,https://www.alqasimia.ac.ae/en/Pages/default.aspx
American University in Dubai,Dubai,https://www.aud.edu
American University in the Emirates,Dubai,https://aue.ae
American University of Ras Al Khaimah,Ras al Khaimah,https://aurak.ac.ae/en
American University of Sharjah,Sharjah,https://www.aus.edu
"Arab Academy for Science, Technology and Maritime Transport",Khor Fakkan,http://www.aast.edu/en/index.php
City University College of Ajman,Ajman,https://www.cuca.ae
Dubai Institute of Design and Innovation,Dubai,http://didi.ac.ae
Dubai Medical College for Girls,Dubai,http://www.dmcg.edu
Dubai Pharmacy College for Girls,Dubai,http://www.dpc.edu/index.php
Emirates Aviation University,Dubai,https://www.eau.ac.ae/en
Fatima College of Health Sciences,Abu Dhabi,http://www.fchs.ac.ae/En
Gulf Medical University,Ajman,https://gmu.ac.ae
"Higher Colleges of Technology
Abu Dhabi Men's Campus",Abu Dhabi,http://hct.ac.ae/en/campuses/abu-dhabi-mens-campus
"Higher Colleges of Technology
Abu Dhabi Women's Campus",Abu Dhabi,http://hct.ac.ae/en/campuses/abu-dhabi-womens-campus
"Higher Colleges of Technology
Al Ain Men's Campus",Al Ain,http://hct.ac.ae/en/campuses/al-ain-mens-campus
"Higher Colleges of Technology
Al Ain Women's Campus",Al Ain,http://hct.ac.ae/en/campuses/al-ain-womens-campus
"Higher Colleges of Technology
Dubai Men's Campus",Dubai,http://hct.ac.ae/en/campuses/dubai-mens-campus
"Higher Colleges of Technology
Dubai Women's Campus",Dubai,http://hct.ac.ae/en/campuses/dubai-womens-campus
"Higher Colleges of Technology
Fujairah Men's Campus",Fujairah,http://hct.ac.ae/en/campuses/fujairah-mens-campus
"Higher Colleges of Technology
Fujairah Women's Campus",Fujairah,http://hct.ac.ae/en/campuses/fujairah-womens-campus
"Higher Colleges of Technology
Madinat Zayed Campus",Madinat Zayed,http://hct.ac.ae/en/campuses/madinat-zayed-campuses
"Higher Colleges of Technology
Ras Al Khaimah Men's Campus",Ras Al Khaimah,http://hct.ac.ae/en/campuses/ras-al-khaimah-mens-campus
"Higher Colleges of Technology
Ras Al Khaimah Women's Campus",Ras Al Khaimah,http://rkw.hct.ac.ae
"Higher Colleges of Technology
Ruwais Campus",Ruwais,http://hct.ac.ae/en/campuses/ruwais-campuses-2
"Higher Colleges of Technology
Sharjah Men's Campus",Sharjah,http://sjm.hct.ac.ae
"Higher Colleges of Technology
Sharjah Women's Campus",Sharjah,http://sjw.hct.ac.ae
Jumeira University,Jumeirah,http://ju.ac.ae
Khalifa University of Science and Technology,Abu Dhabi,https://www.ku.ac.ae
Mohammed Bin Rashid University of Medicine and Health Sciences,Dubai,https://www.mbru.ac.ae
Mohammed V University Abu Dhabi,Abu Dhabi,https://www.um5a.ac.ae
Rabdan Academy,Abu Dhabi,https://ra.ac.ae
RAK Medical and Health Sciences University,Ras Al Khaimah,https://www.rakmhsu.ac.ae
Rochester Institute of Technology Dubai,Dubai,https://www.rit.edu/dubai
Skyline University College,Sharjah,https://www.skylineuniversity.ac.ae
Sorbonne University Abu Dhabi,Abu Dhabi,https://www.sorbonne.ae
The British University in Dubai,Dubai,https://buid.ac.ae
United Arab Emirates University,Al Ain,http://www.uaeu.ac.ae
University of Dubai,Dubai,https://ud.ac.ae
University of Sharjah,Sharjah,https://www.sharjah.ac.ae
University of Wollongong in Dubai,Dubai,https://www.uow.edu.au
Zayed University,Abu Dhabi,https://www.zu.ac.ae
