institute,city,url
Bournemouth University,Poole,https://www.bournemouth.ac.uk
Cardiff Metropolitan University,Cardiff,https://www.cardiffmet.ac.uk
Durham University,Durham,https://www.durham.ac.uk
Leeds Trinity University,Leeds,https://www.leedstrinity.ac.uk
University of London,London,https://www.london.ac.uk
Aberystwyth University,Aberystwyth,http://www.aber.ac.uk
Anglia Ruskin University,Chelmsford,https://aru.ac.uk
Anglo-European College of Chiropractic,Bournemouth,https://www.aecc.ac.uk
Arden University,Coventry,https://arden.ac.uk
Arts University Bournemouth,Poole,https://aub.ac.uk
Ashridge Business School,Berkhamsted,https://www.hult.edu
Aston University,Birmingham,https://www.aston.ac.uk
Bangor University,Bangor,https://www.bangor.ac.uk
Bath Spa University,Bath,https://www.bathspa.ac.uk
Birkbeck - University of London,London,https://www.bbk.ac.uk
Birmingham City University,Birmingham,https://www.bcu.ac.uk
Bishop Grosseteste University,Lincoln,https://www.bgu.ac.uk
BPP University,London,https://www.bpp.com
Brunel University London,Uxbridge,https://www.brunel.ac.uk
Buckinghamshire New University,High Wycombe,https://www.bucks.ac.uk
Canterbury Christ Church University,Canterbury,https://www.canterbury.ac.uk
Cardiff University,Cardiff,https://www.cardiff.ac.uk
City - University of London,London,https://www.city.ac.uk
Coventry University,Coventry,https://www.coventry.ac.uk
Cranfield University,Cranfield,https://www.cranfield.ac.uk
De Montfort University,Leicester,https://www.dmu.ac.uk
Edge Hill University,Ormskirk,https://www.edgehill.ac.uk
Edinburgh Napier University,Edinburgh,https://www.napier.ac.uk
Falmouth University,Falmouth,https://www.falmouth.ac.uk
Glasgow Caledonian University,Glasgow,https://www.gcu.ac.uk
Goldsmiths - University of London,London,https://www.gold.ac.uk
Guildhall School of Music and Drama,London,https://www.gsmd.ac.uk
Harper Adams University,Newport,https://www.harper-adams.ac.uk
Hartpury University,Gloucester,https://www.hartpury.ac.uk
Heriot-Watt University,Edinburgh,https://www.hw.ac.uk
Imperial College London,London,https://www.imperial.ac.uk
Keele University,Keele,https://www.keele.ac.uk
King's College London - University of London,London,https://www.kcl.ac.uk
Kingston University,Kingston-upon-Thames,https://www.kingston.ac.uk
Lancaster University,Lancaster,https://www.lancaster.ac.uk
Leeds Arts University,Leeds,https://www.leeds-art.ac.uk
Leeds Beckett University,Leeds,https://www.leedsbeckett.ac.uk
Liverpool Hope University,Liverpool,https://www.hope.ac.uk
Liverpool John Moores University,Liverpool,https://www.ljmu.ac.uk
Liverpool School of Tropical Medicine,Liverpool,https://www.lstmed.ac.uk
London Business School,London,http://www.london.edu
London Metropolitan University,London,https://www.londonmet.ac.uk
London School of Economics and Political Science - University of London,London,https://www.lse.ac.uk
