institute,city,url
Tashkent State University of Economics,Tashkent,https://tsue.uz
Tashkent State University of Law,Tashkent,https://www.tsul.uz
Westminster International University in Tashkent,Tashkent,https://www.wiut.uz
Andijan Agricultural Institute,Andijan,http://andqxi.uz/
Andijan Institute of Engineering,Andijan,http://www.andmii.uz
Andijan State Medical Institute,Andijan,http://www.adti.uz/
Andijan State University,Andijan,http://www.adu.uz/
Bukhara High-Technology Engineering Institute,Bukhara,http://www.bmf.bukhara.uz
Bukhara State Medical Institute,Bukhara,https://bsmi.uz
Bukhara State University,Bukhara,http://www.buxdu.uz/
Fergana Polytechnic Institute,Fergana,http://www.ferpi.uz/
Fergana State University,Fergana,http://www.fdu.uz
Gulistan State University,Gulistan,http://www.guldu.uz
Jizzakh Polytechnic Institute,Jizzakh,http://djizpi.uz/
Jizzax State Pedagogical Institute,Jizzakh,http://www.jspi.uz
Karakalpak State University,Nukus,http://www.karsu.uz/
Kokand State Pedagogical Institute,Kokand,http://www.kspi.uz
Management Development Institute of Singapore in Tashkent,Tashkent,http://www.mdis.uz/
Namangan Institute of Engineering and Technology,Namangan,http://neti.uz/uz/
Namangan Pedagogical-Engineering Institute,Namangan,http://www.nammpi.uz/index.php/uzb
Namangan State University,Namangan,http://www.namsu.uz
National Institute of Arts and Design,Tashkent,http://mrdi.uz/
National University of Uzbekistan,Tashkent,http://www.nuu.uz
Navoi State Mining Institute,Navoi,http://nggi.uz/
Navoi State Pedagogical Institute,Navoi,http://www.nspi.uz/
Nukus State Pedagogical Institute,Nukus,http://www.ndpi.uz
Qarshi Engineering - Economic Institute,Qarshi,http://www.qmii.uz
Qarshi State University,Qarshi,http://www.kasu.uz/
Samarkand Agricultural Institute,Samarkand,http://www.samqxi.uz
Samarkand Institute of Economy and Service,Samarkand,http://www.sies.uz/
Samarkand State Architecture Institute,Samarkand,http://www.samgasi.uz
Samarkand State Institute of Foreign Languages,Samarkand,http://www.samdchti.uz
Samarkand State Medical Institute,Samarkand,http://www.sammi.uz/
Samarkand State University,Samarkand,http://www.samdu.uz/
State Conservatory of Uzbekistan,Tashkent,http://www.konservatoriya.uz
Tashkent Automobile and Road Construction Institute,Tashkent,http://www.tayi.uz/index.php
Tashkent Branch of Moscow State University named after M. Lomonosov,Tashkent,http://msu.uz/
Tashkent Branch of the Russian State University of Oil and Gas named after I. Gubkin,Tashkent,http://www.gubkin.uz
Tashkent Branch of the Russian University of Economics named after G. Plekhanov,Tashkent,http://rea.uz/
Tashkent Chemical-Technological Institute,Tashkent,http://tkti.uz
Tashkent Institute of Architecture and Construction,Tashkent,http://taqi.uz/
Tashkent Institute of Finance,Tashkent,http://www.tfi.uz
Tashkent Institute of Irrigation and Land Rehabilitation,Tashkent,http://tiim.uz/
Tashkent Institute of Paediatric Medicine,Tashkent,http://www.tashpmi.uz
Tashkent Institute of Railway Engineering,Tashkent,http://www.tashiit.uz
Tashkent Institute of Textile and Light Industry,Tashkent,http://www.titli.uz/
Tashkent Islamic University,Tashkent,http://www.tiu.uz
Tashkent Medical Academy,Tashkent,http://www.tma.uz
Tashkent Pharmaceutical Institute,Tashkent,http://www.pharmi.uz/eng
Tashkent Regional Pedagogical Institute,Angren,http://www.tvdpi.uz/
Tashkent State Agrarian University,Tashkent,http://www.agrar.uz/view.php?lang=uz
Tashkent State Pedagogical University,Tashkent,http://www.tdpu.uz
Tashkent State Technical University,Tashkent,http://www.tdtu.uz/
Tashkent State University of Oriental Studies,Tashkent,https://tsuos.uz
Tashkent University of Information Technologies named after Muhammad al-Khwarizmi,Tashkent,https://www.tuit.uz
Tax Academy,Tashkent,http://akademiya.uz/
Termez State University,Termiz,http://terdu.uz/
The Tashkent State Higher School of National Dance and Choreography,Tashkent,http://www.balet.uz/
Turin Polytechnic University in Tashkent,Tashkent,https://polito.uz/en/
University of World Economy and Diplomacy,Tashkent,http://www.uwed.uz
Urgench State University,Urgench,http://www.urdu.uz/
Uzbek State University of World Languages,Tashkent,https://uzswlu.uz
Uzbekistan State Institute for Physical Education,Tashkent,Webpage-Not-Found
Uzbekistan State Institute of Arts and Culture,Tashkent,http://www.dsmi.uz/
