institute,city,url
Agro-industrial Territorial Polytechnic University of the State of Táchira,San Cristóbal,http://www.iutai.tec.ve
"Agro-industrial Territorial Polytechnic University of the State of Táchira
Colón Branch",Colón,Webpage-Not-Found
Alexander von Humboldt University,Caracas,https://unihumboldt.edu.ve
Algeria Laya Territorial Polytechnic University of Barlovento,Higuerote,https://www.uptbal.edu.ve
Alonso de Ojeda Private University,Ojeda,http://www.uniojeda.edu.ve
Alonso Gamero Territorial Polytechnic University of Falcón,Coro,https://uptag.net
Andrés Bello Catholic University,Caracas,http://www.ucab.edu.ve
"Andrés Bello Catholic University
Ciudad Guayana Branch",Puerto Ordaz,http://guayanaweb.ucab.edu.ve
"Andrés Bello Catholic University
Los Teques Branch",Los Teques,http://losteques.ucab.edu.ve
Andres Eloy Blanco Territorial Polytechnic University of Lara State,Barquisimeto,http://www.uptaeb.edu.ve
Antonio José de Sucre National Experimental Polytechnic University,Barquisimeto,https://virtualunexpo.com
"Antonio José de Sucre National Experimental Polytechnic University
Caracas Branch",Caracas,http://zeus.unexpo.edu.ve
"Antonio José de Sucre National Experimental Polytechnic University
Puerto Ordaz Branch",Puerto Ordaz,http://www.poz.unexpo.edu.ve/web
Argimiro Gabaldon Peasant University of Venezuela,Barquisimeto,Webpage-Not-Found
Arístides Bastidas Territorial Polytechnic University of Yaracuy,San Felipe,http://uptyab.hopto.org
Arturo Michelena University,Valencia,http://www.uam.edu.ve
Bicentenary University of Aragua,San Joaquín de Turmero,http://uba.edu.ve
Bolivarian University of Venezuela,Caracas,http://www.ubv.edu.ve
Catholic University of Táchira,San Cristóbal,https://www.ucat.edu.ve
Cecilio Acosta Catholic University,Maracaibo,http://www.unica.edu.ve
Cecilio Acosta Territorial Polytechnic University of the Altos Mirandinos,Los Teques,https://cultca.terna.net
Central University of Venezuela,Caracas,http://www.ucv.ve
Clodosbaldo Russián Territorial Polytechnic University of the West of Sucre,Cumanacoa,https://www.uptos.edu.ve
Dr. José Gregorio Hernández Private University,Maracaibo,http://www.ujgh.edu.ve
Ezequiel Zamora National Experimental University of the Western Plains,Barinas,https://unellez.edu.ve
Falcón University,Punto Fijo,http://www.udefa.edu.ve
Father Ojeda Salesian University Institute,Los Teques,Webpage-Not-Found
Federico Brito Figueroa Territorial Polytechnic University of Aragua State,La Victoria,http://upta.edu.ve
Fermín Toro University,Cabudare,https://b781.gconex.com
Francisco de Miranda National Experimental University,Santa Ana de Coro,http://www.unefm.edu.ve
Francisco Tamayo Deltaic Territorial University,Tucupita,Webpage-Not-Found
Grand Marshal of Ayacucho Northeastern University,Barcelona,http://www.ugma.edu.ve
Hugo Chávez Frías University of Health Sciences,Caracas,http://ucs.gob.ve
Institute of Advanced Studies in Public Health Dr. Arnoldo Gabaldon,Maracay,http://www.iaes.edu.ve
Jesús María Semprún Southern National Experimental University of the Lake,Santa Bárbara del Zulia,https://www.unesur.edu.ve
Jesús Rivero Bolivarian University of Workers,Maturín,https://www.ubtjr.edu.ve
José Antonio Anzoátegui Territorial Polytechnic University,El Tigre,http://www.uptjaa.edu.ve
"José Antonio Anzoátegui Territorial Polytechnic University
Anaco Branch",Anaco,Webpage-Not-Found
"José Antonio Anzoátegui Territorial Polytechnic University
Pariaguán Branch",Pariaguán,Webpage-Not-Found
"José Antonio Anzoátegui Territorial Polytechnic University
Puerto La Cruz Branch",Bacerlona,Webpage-Not-Found
José Antonio Páez University,Valencia,http://www.ujap.edu.ve
José Félix Ribas Territorial Polytechnic University,Barinas,Webpage-Not-Found
José María Vargas University,Caracas,https://www.ujmv.edu
Juan de Jesús Montilla Territorial Polytechnic University of Portuguesa State,Acarigua,http://uptpweb.sytes.net/uptp
Juana Ramirez Territorial Polytechnic University of Los Llanos,Valle de La Pascua,http://uptllanos.ddns.net
"Juana Ramirez Territorial Polytechnic University of Los Llanos
Altagracia de Orituco Branch",Altagracia de Orituco,Webpage-Not-Found
"Juana Ramirez Territorial Polytechnic University of Los Llanos
Calabozo Branch",Calabozo,Webpage-Not-Found
Kléber Ramírez Territorial Polytechnic University of Mérida,Ejido,https://uptm.edu.ve
Libertador Experimental University of Education,Caracas,http://www.upel.edu.ve
"Libertador Experimental University of Education
Institute for the Professional Upgrading of Teachers",Caracas,http://www.impm.upel.edu.ve
"Libertador Experimental University of Education
Luis Beltrán Prieto Figueroa Pedagogical Institute of Barquisimeto",Barquisimeto,http://www.ipb.upel.edu.ve
"Libertador Experimental University of Education
Pedagogical Institute of Caracas",Caracas,http://www.ipc.upel.edu.ve
"Libertador Experimental University of Education
Antonio Lira Alcalà Pedagogical Institute of Maturín",Maturín,http://www.ipm.upel.edu.ve
"Libertador Experimental University of Education
José Manuel Siso Martínez Pedagogical Institute of Miranda",Caracas,http://www.ipmjmsm.upel.edu.ve
"Libertador Experimental University of Education
Rafael Alberto Escobar Lara Pedagogical Institute",Maracay,http://www.ipmar.upel.edu.ve
"Libertador Experimental University of Education
El Mácaro Rural Pedagogical Institute",Maracay,http://www.iprm.upel.edu.ve/index.php/en
"Libertador Experimental University of Education
Gervasio Rubio Rural Pedagogical Institute",Rubio,http://www.iprgr.upel.edu.ve
Lisandro Alvarado Central Western University,Barquisimeto,https://www.ucla.edu.ve
Ludovico Silva Territorial Polytechnic University of North Monagas,Caripito,http://www.uptnmls.edu.ve
Luís Mariano Rivera Territorial Polytechnic University of Paria,Carúpano,http://uptparia.edu.ve
Manuela Sáenz Territorial Polytechnic University of North Táchira,García de Hevia,http://www.uptmanuelasaenz.com.ve
Mario Briceño Iragorry Territorial Polytechnic University of Trujillo State,Valera,https://upttmbi.edu.ve
Mariscal de Sucre Territorial Polytechnic University of Caracas,Caracas,https://www.iutoms.edu.ve
May Hamilton College of Rehabilitation,Caracas,http://www.ivss.gov.ve/contenido/Colegio-Universitario-Rehabilitacion-May-Hamilton
Metropolitan University,Caracas,https://www.unimet.edu.ve
Monsignor Rafael Arias Blanco Pedagogical University Institute,Caracas,https://pedagogicoiupma.wordpress.com
Monteávila University,Caracas,https://www.uma.edu.ve
National Experimental Maritime University of the Caribbean,Vargas,http://www.umc.edu.ve
National Experimental University of Guayana,Puerto Ordaz,http://www.uneg.edu.ve
National Experimental University of Táchira,San Cristóbal,http://www.unet.edu.ve
National Experimental University of the Armed Forces,Caracas,http://www.unefa.edu.ve
National Experimental University of the Arts,Caracas,http://www.unearte.edu.ve
National Experimental University of the Greater Caracas,Caracas,http://www.unexca.edu.ve
National Experimental University of the Yaracuy,San Felipe,http://www.uney.edu.ve
National Open University,Caracas,http://www.una.edu.ve
National School of Administration and Public Finance - University Institute of Technology,Caracas,http://www.enahp.edu.ve
National University of Tourism,Barcelona,Webpage-Not-Found
"National University of Tourism
National University of Tourism - Hotel School of the Venezuelan Andes",Mérida,http://hotelescuela.org.ve
New Sparta University,Caracas,http://www.une.edu.ve
Panamericana University of Puerto,Puerto Cabello,https://www.unipap.edu.ve
Paulo Freire Latin American University Institute of Agroecology,Alberto Arvelo Torrealba,http://ialainfo.blogspot.com
Pedro Camejo Territorial Polytechnic University of Alto Apure,San Fernando de Apure,https://www.uptaltoapure.edu.ve
Polytechnic University Institute Santiago Mariño,Barcelona,http://www.psmbarcelona.edu.ve
"Polytechnic University Institute Santiago Mariño
Barinas Branch",Barinas,http://www.psmbarinas.edu.ve
"Polytechnic University Institute Santiago Mariño
Cabimas Branch",Cabimas,http://www.psmcabimas.edu.ve
"Polytechnic University Institute Santiago Mariño
Caracas Branch",Caracas,http://www.psmcaracas.edu.ve
"Polytechnic University Institute Santiago Mariño
Maracaibo Branch",Maracaibo,http://www.psmmaracaibo.edu.ve
"Polytechnic University Institute Santiago Mariño
Maracay Branch",Maracay,http://www.psmmaracay.edu.ve
"Polytechnic University Institute Santiago Mariño
Maturín Branch",Maturín,http://www.psmmaturin.edu.ve
"Polytechnic University Institute Santiago Mariño
Mérida Branch",Mérida,http://www.psmmerida.edu.ve
"Polytechnic University Institute Santiago Mariño
Porlamar Branch",Porlamar,http://www.psmporlamar.edu.ve
"Polytechnic University Institute Santiago Mariño
Puerto Ordaz Branch",Puerto Ordaz,http://www.psmpuertoordaz.edu.ve
"Polytechnic University Institute Santiago Mariño
San Cristóbal Branch",San Cristóbal,http://www.psmsancristobal.edu.ve
"Polytechnic University Institute Santiago Mariño
Tovar Branch",Tovar,Webpage-Not-Found
"Polytechnic University Institute Santiago Mariño
Valencia Branch",Valencia,http://www.psmvalencia.edu.ve
Rafael Belloso Chacín University,Maracaibo,https://www.urbe.edu
Rafael María Baralt National Experimental University,Cabimas,https://unermb.web.ve
Rafael Urdaneta University,Maracaibo,http://www.uru.edu
Rómulo Gallegos National Experimental University of the Central Plains,San Juan de los Morros,http://www.unerg.edu.ve
Santa María University,Caracas,https://usm.edu.ve
Santa Rosa Catholic University,Caracas,http://www.santarosa.edu.ve
Simón Bolívar Experimental University,Caracas,http://www.usb.ve
Simón Rodríguez National Experimental University,Caracas,http://unesrspr.ddns.net
Southern Sports University,San Carlos,http://www.uideporte.edu.ve
Technological University of the Central Region,Guacara,https://portal.unitec.edu.ve
Territorial Polytechnic University of Bolívar State,Bolívar,https://www.uptbolivar.com
Territorial Polytechnic University of Maracaibo,Maracaibo,http://www.iutm.edu.ve
"Territorial Polytechnic University of Maracaibo
Machiques Branch",Machiques,Webpage-Not-Found
"Territorial Polytechnic University of Maracaibo
San Rafael del Moján Branch",San Rafael del Moján,Webpage-Not-Found
Territorial Polytechnic University of Puerto Cabello,Puerto Cabello,http://www.iutpc.edu.ve
"Territorial Polytechnic University of Puerto Cabello
Chichiriviche Branch",Chichiriviche,Webpage-Not-Found
Territorial Polytechnic University of the Tuy Valleys,Ocumare del Tuy,https://uptvallesdeltuy.gnomio.com
Territorial Polytechnic University of Valencia,Valencia,http://www.iutvalencia.edu.ve
Territorial Polytechnic University of Zulia,Cabimas,http://uptzulia.edu.ve
University Institute of Public Relations,Caracas,https://iuderp.edu.ve
University of Carabobo,Valencia,http://www.uc.edu.ve
University of Margarita,El Valle del Espíritu Santo,http://www.unimar.edu.ve
University of the Andes,Mérida,http://www.ula.ve
University of the East,Cumaná,http://www.udo.edu.ve
University of Zulia,Maracaibo,http://www.luz.edu.ve
Valley of the Momboy University,Valera,http://www.uvm.edu.ve
Yacambu University,Cabudare,http://www.uny.edu.ve
