institute,city,url
Ho Chi Minh City University of Transport,Ho Chi Minh City,https://ut.edu.vn
"Academy of Finance, Vietnam",Hanoi,https://www.hvtc.edu.vn/english
An Giang University,Long Xuyen city,http://www.agu.edu.vn/en
Ba Ria - Vung Tau University,Vung Tau City,http://bvu.edu.vn/web/en
Bac Giang Agriculture and Forestry University,Bich Son,http://bafu.edu.vn
Bac Lieu University,Bac Lieu City,http://blu.edu.vn
Bac Ninh University of Physical Education and Sports,Bac Ninh,http://www.upes1.edu.vn
Banking Academy of Vietnam,Hanoi,http://eng.hvnh.edu.vn
Banking University of Ho Chi Minh City,Ho Chi Minh City,http://buh.edu.vn
Binh Duong Economics and Technology University,Thu Dau Mot,http://www.ktkt.edu.vn
Binh Duong University,Thu Dau Mot,http://en.bdu.edu.vn
British University Vietnam,Hanoi,https://www.buv.edu.vn
Can Tho University,Can Tho,http://www.ctu.edu.vn
Can Tho University of Medicine and Pharmacy,Can Tho,http://www.ctump.edu.vn
Can Tho University of Technology and Technology,Can Tho,https://www.ctuet.edu.vn
Chuvanan University,Hung Yen,http://www.cvauni.edu.vn
Da Lat University,Da Lat City,http://www.dlu.edu.vn/en/Index.htm
Da Nang University of Architecture,Danang,http://www.dau.edu.vn
Da Nang University of Medical Technology and Pharmacy,Da Nang,http://dhktyduocdn.edu.vn
Danang University of Physical Education and Sports,Da Nang City,http://www.upes3.edu.vn
Diplomatic Academy of Vietnam,Hanoi,http://www.dav.edu.vn
Dong A University,Da Nang City,http://donga.edu.vn
Dong A University of Technology,Bac Ninh,https://eaut.edu.vn/en
Dong Nai University,Bien Hoa City,http://www.dnpu.edu.vn
Dong Nai University of Technology,Bien Hoa,http://dntu.edu.vn
Dong Thap University,Cao Lanh,http://en.dthu.edu.vn
Duy Tan University,Danang,http://duytan.edu.vn
Eastern International University,Binh Duong New City,http://www.eiu.edu.vn
Electric Power University,Hanoi,http://epu.edu.vn
Foreign Trade University,Hanoi,http://www.ftu.edu.vn
FPT University,Hanoi,https://daihoc.fpt.edu.vn
Gia Dinh University,Ho Chi Minh City,http://giadinh.edu.vn
Ha Tinh University,Ha Tinh,http://htu.edu.vn
Hai Duong Medical Technical University,Hai Duong City,http://www.hmtu.edu.vn/Desktop.aspx/Home
Hai Duong University,Hai Duong,http://www.uhd.edu.vn
Hai Phong University,Hai Phong,http://dhhp.edu.vn
Hai Phong University of Medicine and Pharmacy,Haiphong,http://hpmu.edu.vn/en
Haiphong Private University,Hai Phong,http://eng.hpu.edu.vn/home/index.php
Hanoi Academy of Theatre and Cinema,Hanoi,http://www.skda.edu.vn
Hanoi Law University,Hanoi,http://www.hlu.edu.vn
Hanoi Medical University,Hanoi,http://www.hmu.edu.vn
Hanoi National University of Education,Hanoi,http://www.hnue.edu.vn
Hanoi Open University,Hanoi,http://www.hou.edu.vn
Hanoi Pedagogical University 2,Phuc Yen Town,http://www.hpu2.edu.vn/en
Hanoi University,Hanoi,http://english.hanu.vn/index.php?option=com_content&task=blogcategory&id=0&Itemid=115
Hanoi University of Architecture,Hanoi,http://www.hau.edu.vn
Hanoi University of Business and Technology,Hanoi,http://en.hubt.edu.vn
Hanoi University of Culture,Hanoi,http://www.huc.edu.vn
Hanoi University of Home Affairs,Hanoi,http://truongnoivu.edu.vn
Hanoi University of Industrial Fine Arts,Hanoi,http://mythuatcongnghiep.edu.vn
Hanoi University of Industry,Hanoi,https://www.haui.edu.vn/en
Hanoi University of Mining and Geology,Hanoi,http://www.humg.edu.vn
Hanoi University of Natural Resources and Environment,Hanoi,http://en.hunre.edu.vn/hunre-en/trang-chu
Hanoi University of Pharmacy,Hanoi,http://www.hup.edu.vn
Hanoi University of Physical Education and Sports,Hanoi,http://dhsptdtthanoi.edu.vn
Hanoi University of Public Health,Hanoi,http://www.hsph.edu.vn
Hanoi University of Science and Technology,Hanoi,https://en.hust.edu.vn/home
Ho Chi Minh City Music Conservatory,Ho Chi Minh City,https://www.hcmcons.vn
Ho Chi Minh City Open University,Ho Chi Minh City,http://en.ou.edu.vn
Ho Chi Minh City University of Culture,Ho Chi Minh City,http://www.hcmuc.edu.vn
Ho Chi Minh City University of Education,Ho Chi Minh City,http://www.hcmup.edu.vn
Ho Chi Minh City University of Fine Arts,Ho Chi Minh City,http://www.hcmufa.edu.vn
Ho Chi Minh City University of Food Industry,Ho Chi Minh City,http://hufi.edu.vn
Ho Chi Minh City University of Foreign Languages and Information Technology,Ho Chi Minh City,http://en.huflit.edu.vn
Ho Chi Minh City University of Law,Ho Chi Minh City,http://www.hcmulaw.edu.vn
Ho Chi Minh City University of Medicine and Pharmacy,Ho Chi Minh City,http://www.yds.edu.vn
Ho Chi Minh City University of Natural Resources and Environment,Ho Chi Minh,http://www.hcmunre.edu.vn
Ho Chi Minh City University of Physical Education and Sport,Ho Chi Minh City,http://www.upes.edu.vn
Ho Chi Minh City University of Sport,Ho Chi Minh City,http://ush.edu.vn
Ho Chi Minh City University of Technology and Education,Ho Chi Minh City,http://hcmute.edu.vn
Ho Chi Minh University of Technology,Ho Chi Minh City,http://www.hutech.edu.vn
Hoa Binh University,Hanoi,http://daihochoabinh.edu.vn
Hoa Lu University,Ninh Binh City,http://hluv.edu.vn
Hoa Sen University,Ho Chi Minh City,https://hoasen.edu.vn/en
Hong Duc University,Thanh Hoa City,http://eng.hdu.edu.vn
Hongbang International University,Ho Chi Minh City,http://hiu.vn/en
Hue Academy of Music,Hue City,http://hocvienamnhachue.edu.vn/en
Hue University,Hue City,http://www.hueuni.edu.vn
Hung Vuong University,Viet Tri City,http://en.hvu.edu.vn
Hung Yen University of Technology and Education,Hung Yen,http://www.utehy.edu.vn
Huu Nghi University of Technology and Management,Hanoi,https://www.utm.edu.vn
Industrial University of Ho Chi Minh City,Ho Chi Minh City,http://www.hui.edu.vn/en
Lac Hong University,Bien Hoa,https://lhu.edu.vn
Le Quy Don Technical University,Hanoi,http://www.lqdtu.edu.vn
Long An University of Economics and Industry,Tan An,http://www.daihoclongan.edu.vn
Luong The Vinh University,Nam Dinh City,http://www.ltvu.edu.vn
Mekong University,Long Ho,http://mku.edu.vn/Trang-chu/2
Mien Dong University of Technology,Thong Nhat,http://en.mut.edu.vn
Mien Tay Construction University,Vinh Long,http://www.mtu.edu.vn
Mientrung University of Civil Engineering,Tuy Hoa,http://en.muce.edu.vn
Nam Can Tho University,Can Tho,http://en.nctu.edu.vn
Nam Dinh University of Nursing,Nam Dinh,http://www.ndun.edu.vn/home.html/en
Nam Dinh University of Technical Education,Nam Dinh City,http://nute.edu.vn
National Academy of Education Management,Hanoi,http://www.niem.edu.vn
National Economics University,Hanoi,http://www.neu.edu.vn
National University of Art Education,Hanoi,http://en.spnttw.edu.vn
National University of Civil Engineering,Hanoi,http://nuce.edu.vn/index.php?lg=2
Ngo Quyen University,Thu Dau Mot Town,http://www.tsqcb.edu.vn/tsqcb
Nguyen Tat Thanh University,Ho Chi Minh City,http://en.ntt.edu.vn
Nha Trang University,Nha Trang City,http://ntu.edu.vn
Nong Lam University - Ho Chi Minh City,Ho Chi Minh City,http://en.hcmuaf.edu.vn
Pacific Ocean University,Nha Trang,http://pou.edu.vn
Pham Ngoc Thach University of Medicine,Ho Chi Minh City,https://www.pnt.edu.vn/university-of-medicine-pham-ngoc-thach
Pham Van Dong University,Quang Ngai City,http://www.pdu.edu.vn
Phenikaa University,Hanoi,http://phenikaa-uni.edu.vn
Phu Xuan University,Hue,http://www.phuxuanuni.edu.vn
Phu Yen University,Tuy Hoa,http://www.pyu.edu.vn
Phuong Dong University,Hanoi,http://phuongdong.edu.vn
Posts and Telecommunications Institute of Technology,Hanoi,http://portal.ptit.edu.vn/eng
Quang Binh University,Dong Hoi City,http://quangbinhuni.edu.vn/Dai-Hoc-Quang-Binh/PortalE
Quang Nam University,Tam Ky,http://www.qnamuni.edu.vn/en
Quang Ninh University of Industry,Dong Trieu,http://qui.edu.vn
Quang Trung University,Quy Nhon,http://www.quangtrung.edu.vn
Quy Nhon University,Quy Nhon,http://www.qnu.edu.vn
Saigon International University,Ho Chi Minh City,http://www.siu.edu.vn/en-us
Saigon Technology University,Ho Chi Minh City,http://www.stu.edu.vn
Saigon University,Ho Chi Minh City,https://sgu.edu.vn/?lang=en
Sao Do University,Chi Linh Town,http://saodo.edu.vn
Tan Tao University,Tan Duc E.City,http://ttu.edu.vn/?lang=en
Tay Bac University,Son La,http://www.utb.edu.vn
Tay Do University,Can Tho,http://www.tdu.edu.vn
Tay Nguyen University,Buon Ma Thuot,https://www.ttn.edu.vn/index.php/en
Thai Binh University,Thai Binh,http://tbu.edu.vn
Thai Binh University of Medicine and Pharmacy,Thai Binh,http://tbump.edu.vn
Thai Nguyen University,Thai Nguyen City,http://www.tnu.edu.vn
"Thai Nguyen University
Thai Nguyen University of Technology",Thai Nguyen City,http://en.tnut.edu.vn
Thang Long University,Hanoi,http://www.thanglong.edu.vn
Thanh Do University,Hanoi,http://thanhdo.edu.vn
"Thanh Hoa University of Culture, Sports and Tourism",Thanh Hoa,http://www.dvtdt.edu.vn
Thu Dau Mot University,Thu Dau Mot,http://en.tdmu.edu.vn
Thuongmai University,Hanoi,https://tmu.edu.vn
Thuyloi University,Hanoi,http://en.tlu.edu.vn
Tien Giang University,My Tho City,http://tgu.edu.vn/#popup1
Ton Duc Thang University,Ho Chi Minh City,http://www.tdtu.edu.vn/en
Tra Vinh University,Tra Vinh,http://www.tvu.edu.vn
Trade Union University,Hanoi,http://www.dhcd.edu.vn
Tran Dai Nghia University,Ho Chi Minh City,http://tdnu.edu.vn
University of Architecture Ho Chi Minh City,Ho Chi Minh City,http://www.uah.edu.vn
University of Danang,Da Nang City,http://www.udn.vn
University of Economic and Technical Industries,Hanoi,http://www.uneti.edu.vn
"University of Economics and Finance, Ho Chi Minh City",Ho Chi Minh City,https://www.uef.edu.vn/en
University of Economics Ho Chi Minh City,Ho Chi Minh City,http://www.ueh.edu.vn
University of Finance - Marketing,Ho Chi Minh City,http://en.ufm.edu.vn
University of Finance and Business Administration,Van Lam,http://tcqtkd.edu.vn
University of Fire Fighting and Prevention,Hanoi,http://daihocpccc.edu.vn
University of Labor and Social Affairs,Hanoi,http://ulsa.edu.vn
University of Phan Thiet,Phan Thiet,http://upt.edu.vn/upten
University of Science and Technology - The University of Danang,Da Nang City,http://dut.udn.vn
University of Transport and Communications,Hanoi,http://www.uct.edu.vn
University of Transport Technology,Hanoi,http://utt.edu.vn
Van Hien University,Ho Chi Minh City,http://www.vhu.edu.vn
Van Lang University,Ho Chi Minh City,http://www.dhdlvanlang.edu.vn
Nong Lam University - Ho Chi Minh City,Ho Chi Minh City,http://en.hcmuaf.edu.vn
Pacific Ocean University,Nha Trang,http://pou.edu.vn
Pham Ngoc Thach University of Medicine,Ho Chi Minh City,https://www.pnt.edu.vn/university-of-medicine-pham-ngoc-thach
Pham Van Dong University,Quang Ngai City,http://www.pdu.edu.vn
Phenikaa University,Hanoi,http://phenikaa-uni.edu.vn
Phu Xuan University,Hue,http://www.phuxuanuni.edu.vn
Nong Lam University - Ho Chi Minh City,Ho Chi Minh City,http://en.hcmuaf.edu.vn
Pacific Ocean University,Nha Trang,http://pou.edu.vn
Pham Ngoc Thach University of Medicine,Ho Chi Minh City,https://www.pnt.edu.vn/university-of-medicine-pham-ngoc-thach
Pham Van Dong University,Quang Ngai City,http://www.pdu.edu.vn
Phenikaa University,Hanoi,http://phenikaa-uni.edu.vn
Phu Xuan University,Hue,http://www.phuxuanuni.edu.vn
Phu Yen University,Tuy Hoa,http://www.pyu.edu.vn
Phuong Dong University,Hanoi,http://phuongdong.edu.vn
Posts and Telecommunications Institute of Technology,Hanoi,http://portal.ptit.edu.vn/eng
Nong Lam University - Ho Chi Minh City,Ho Chi Minh City,http://en.hcmuaf.edu.vn
Pacific Ocean University,Nha Trang,http://pou.edu.vn
Pham Ngoc Thach University of Medicine,Ho Chi Minh City,https://www.pnt.edu.vn/university-of-medicine-pham-ngoc-thach
Pham Van Dong University,Quang Ngai City,http://www.pdu.edu.vn
Phenikaa University,Hanoi,http://phenikaa-uni.edu.vn
Phu Xuan University,Hue,http://www.phuxuanuni.edu.vn
Phu Yen University,Tuy Hoa,http://www.pyu.edu.vn
Phuong Dong University,Hanoi,http://phuongdong.edu.vn
Posts and Telecommunications Institute of Technology,Hanoi,http://portal.ptit.edu.vn/eng
Quang Binh University,Dong Hoi City,http://quangbinhuni.edu.vn/Dai-Hoc-Quang-Binh/PortalE
Quang Nam University,Tam Ky,http://www.qnamuni.edu.vn/en
Quang Ninh University of Industry,Dong Trieu,http://qui.edu.vn
Quang Trung University,Quy Nhon,http://www.quangtrung.edu.vn
Quy Nhon University,Quy Nhon,http://www.qnu.edu.vn
Saigon International University,Ho Chi Minh City,http://www.siu.edu.vn/en-us
Saigon Technology University,Ho Chi Minh City,http://www.stu.edu.vn
Saigon University,Ho Chi Minh City,https://sgu.edu.vn/?lang=en
Sao Do University,Chi Linh Town,http://saodo.edu.vn
Tan Tao University,Tan Duc E.City,http://ttu.edu.vn/?lang=en
Tay Bac University,Son La,http://www.utb.edu.vn
Tay Do University,Can Tho,http://www.tdu.edu.vn
Tay Nguyen University,Buon Ma Thuot,https://www.ttn.edu.vn/index.php/en
Thai Binh University,Thai Binh,http://tbu.edu.vn
Thai Binh University of Medicine and Pharmacy,Thai Binh,http://tbump.edu.vn
Thai Nguyen University,Thai Nguyen City,http://www.tnu.edu.vn
"Thai Nguyen University
Thai Nguyen University of Technology",Thai Nguyen City,http://en.tnut.edu.vn
Thang Long University,Hanoi,http://www.thanglong.edu.vn
Thanh Do University,Hanoi,http://thanhdo.edu.vn
"Thanh Hoa University of Culture, Sports and Tourism",Thanh Hoa,http://www.dvtdt.edu.vn
Thu Dau Mot University,Thu Dau Mot,http://en.tdmu.edu.vn
Thuongmai University,Hanoi,https://tmu.edu.vn
Thuyloi University,Hanoi,http://en.tlu.edu.vn
Tien Giang University,My Tho City,http://tgu.edu.vn/#popup1
Ton Duc Thang University,Ho Chi Minh City,http://www.tdtu.edu.vn/en
Tra Vinh University,Tra Vinh,http://www.tvu.edu.vn
Trade Union University,Hanoi,http://www.dhcd.edu.vn
Tran Dai Nghia University,Ho Chi Minh City,http://tdnu.edu.vn
University of Architecture Ho Chi Minh City,Ho Chi Minh City,http://www.uah.edu.vn
University of Danang,Da Nang City,http://www.udn.vn
University of Economic and Technical Industries,Hanoi,http://www.uneti.edu.vn
"University of Economics and Finance, Ho Chi Minh City",Ho Chi Minh City,https://www.uef.edu.vn/en
University of Economics Ho Chi Minh City,Ho Chi Minh City,http://www.ueh.edu.vn
University of Finance - Marketing,Ho Chi Minh City,http://en.ufm.edu.vn
University of Finance and Business Administration,Van Lam,http://tcqtkd.edu.vn
University of Fire Fighting and Prevention,Hanoi,http://daihocpccc.edu.vn
University of Labor and Social Affairs,Hanoi,http://ulsa.edu.vn
University of Phan Thiet,Phan Thiet,http://upt.edu.vn/upten
University of Science and Technology - The University of Danang,Da Nang City,http://dut.udn.vn
University of Transport and Communications,Hanoi,http://www.uct.edu.vn
University of Transport Technology,Hanoi,http://utt.edu.vn
Van Hien University,Ho Chi Minh City,http://www.vhu.edu.vn
Van Lang University,Ho Chi Minh City,http://www.dhdlvanlang.edu.vn
Viet Bac University,Thai Nguyen City,http://www.vietbac.edu.vn
Viet Tri University of Industry,Viet Tri,http://vui.edu.vn
Vietnam Aviation Academy,Ho Chi Minh City,http://vaa.edu.vn
Vietnam Maritime University,Haiphong,http://www.vimaru.edu.vn
VietNam Military Medical University,Hanoi,http://vmmu.edu.vn/Portal/Home.html
Vietnam Nation University of Forestry,Hanoi,http://env.vnuf.edu.vn
Vietnam National University - Hanoi,Hanoi,http://www.vnu.edu.vn
Vietnam National University - Ho Chi Minh City,Ho Chi Minh City,http://www.vnuhcm.edu.vn
"Vietnam National University - Ho Chi Minh City
Ho Chi Minh City University of Technology",Ho Chi Minh City,http://www.hcmut.edu.vn
"Vietnam National University - Ho Chi Minh City
University of Social Sciences and Humanities",Ho Chi Minh City,http://www.hcmussh.edu.vn
"Vietnam National University - Ho Chi Minh City
International University - Viet Nam National University Ho Chi Minh City",Ho Chi Minh City,http://www.hcmiu.edu.vn
"Vietnam National University - Ho Chi Minh City
University of Science",Ho Chi Minh City,http://web.hcmus.edu.vn/en
Vietnam National University of Agriculture,Hanoi,http://www.vnua.edu.vn/eng
Vietnam University of Fine Arts,Hanoi,http://mythuatvietnam.edu.vn
Vietnam University of Traditional Medicine,Hanoi,http://www.vutm.edu.vn
Vietnam Women's Academy,Hanoi,http://hvpnvn.edu.vn
Vinh Long University of Technology Education,Vinh Long,http://www.vlute.edu.vn/en
Vinh Medical University,Vinh City,http://vmu.edu.vn
Vinh University,Vinh City,http://www.vinhuni.edu.vn
Vinh University of Technical Education,Vinh,http://vuted.edu.vn
Yersin University,Da Lat,http://yersin.edu.vn
