institute,city,url
Al-Ahgaff University,Mukalla,http://www.ahgaff.edu
Applied and Social Sciences University,Sana'a,Webpage-Not-Found
Hadhramout University,Mukalla,https://hu.edu.ye/en
Hodeida University,Hodeidah,http://www.hoduniv.edu.ye
Ibb University,Ibb,http://www.ibbuniversity.com
International University of Technology Twintech,Sana’a,http://www.iutt.edu.ye
Lebanese International University - Sana'a,Sana'a,https://ye.liu.edu.lb/index
Queen Arwa University,Sana'a,http://www.y.net.ye/arwauniversity/english/about.htm
Saba University,Sana'a,http://sabauni.net
Taiz University,Taiz,http://www.taizuni.net
Thamar University,Thamar,Webpage-Not-Found
"The Arab Academy for Management, Banking and Financial Sciences",Aden,https://aambfsye.org/en
The National University,Taiz,https://national-univ.net
The University of Science and Technology in Yemen,Sana'a,http://www.ust.edu
University of Aden,Khormaksar-Aden,http://www.aden-univ.net
Yemenya University,Sana'a,https://www.yemenuniversity.com/ar/
