institute,city,url
Africa Research University,Lusaka,https://www.keystoneuoa.com
African Christian Univeristy,Lusaka,http://acu-usa.com
African Open University,Ndola,http://ao.university/site/index.php
Ambassador International University,Chongwe,https://www.aiuzambia.com
Cavendish University,Lusaka,https://www.cavendishza.org
Chalimbana University,Lusaka,https://www.chau.ac.zm
Chreso University,Lusaka,https://chresouniversity.edu.zm
City University of Science and Technology,Lusaka,http://www.city.ac.zm
Copperbelt University,Kitwe,http://www.cbu.edu.zm
DMI St. Eugene University,Chibombo,https://www.dmiseu.edu.zm
Eden University,Lusaka,https://edenuniversity.edu.zm
Evangelical University,Ndola,http://evangelicaluniversity.ac.zm
Gideon Robert University,Lusaka,https://gideonrobert.education
Harvest University,Lusaka,https://harvestuniversity.edu.zm
Information and Communications University,Lusaka,http://icuzambia.net
Justo Mwale University,Lusaka,https://justomwale.net
Kapasa Makasa University,Chinsali,https://www.kmu.ac.zm
Kenneth Kaunda Metropolitan University,Lusaka,https://kkmu.edu.zm
Kwame Nkrumah University,Kabwe,https://www.nkrumah.edu.zm
Lusaka Apex Medical University,Lusaka,http://www.lamu.edu.zm
Management College of Southern Africa,Lusaka,https://www.mancosa.co.za
Mukuba University,Kitwe,https://mukuba.edu.zm
Mulungushi University,Kabwe,https://www.mu.ac.zm
National Institute of Public Administration,Lusaka,https://www.nipa.ac.zm
Northrise University,Ndola,https://northrise.edu.zm
Oak University,Lusaka,https://oakuniversity.co.zm
Paglory University,Kabwe,https://paglory-university.com
Rockview University,Lusaka,http://41.60.17.145
Rusangu University,Monze,https://ru.edu.zm
Supershine University,Lusaka,https://supershineuniversity.net
Texilla American University,Lusaka,http://www.tau.edu.zm
Trans-African Christian University,Kitwe,http://www.tacuzambia.org
Twin Palm Leadership University,Lusaka,https://tplu.org
Unicaf University Zambia,Lusaka,https://unicafuniversity.ac.zm
United Church of Zambia University,Kitwe,http://uczuniversity.org
University of Africa,Lusaka,https://www.keystoneuoa.com
University of Barotseland,Mongu,https://www.ubl.edu.zm
University of Edenberg,Kitwe,https://ue.edu.zm
University of Lusaka,Lusaka,http://www.unilus.ac.zm
University of the Foundation for Cross-cultural Education,Luanshya,https://fce.org.za
University of Zambia,Lusaka,https://www.unza.zm
Victoria Falls University of Technology,Livingstone,http://196.46.192.176
Zambia Catholic University,Kalulushi,https://www.zcuniversity.edu.zm
Zambian Open University,Lusaka,https://zaou.ac.zm
ZCAS University,Lusaka,https://www.zcas.ac.zm
