institute,city,url
Women's University in Africa,Harare,https://www.wua.ac.zw
Africa University,Mutare,http://www.africau.edu
Bindura University of Science Education,Bindura,http://www.buse.ac.zw
Catholic University of Zimbabwe,Harare,http://www.cuz.ac.zw
Chinhoyi University of Technology,Chinhoyi,http://www.cut.ac.zw
Great Zimbabwe University,Masvingo,http://www.gzu.ac.zw
Harare Institute of Technology,Harare,http://www.hit.ac.zw
Lupane State University,Lupane,http://www.lsu.ac.zw
Midlands State University,Gweru,http://www.msu.ac.zw
National University of Science and Technology,Bulawayo,http://www.nust.ac.zw
Solusi University,Bulawayo,http://www.solusi.ac.zw
University of Zimbabwe,Harare,http://www.uz.ac.zw
Zimbabwe Ezekiel Guti University,Bindura,http://www.zegu.ac.zw
Zimbabwe Open University,Harare,http://www.zou.ac.zw
