institute,city,url
Kardan University,Kabul,https://kardan.edu.af
Aburayhan Institute of Higher Education,Kabul,https://aburayhan.edu.af
Afghan Institute of Higher Education,Kabul,http://afghanuniversity.edu.af/en
Afghan Pamir Higher Education Institute,Kabul,https://afghanpamir.edu.af
Afghan Swiss Higher Education Institute,Kabul,http://university.afghanswissgroup.com
Afghanistan Institute of Higher Education,Kabul,https://uofa.edu.af
Afghanistan National Agricultural Sciences and Technology University,Kandahar,https://anastu.edu.af
Ahlobait University,Kabul,https://ahlobait.edu.af
Ahmad Shah Abdali Institute of Higher Education,Khost,http://www.aaihe.edu.af
Al-Taqwa Institute of Higher Education,Jalalabad,https://altaqwa.edu.af/en
Alberoni University,Kohistan,https://au.edu.af/en
Alfalah University,Jalalabad,https://alfalah.edu.af
Alghias Higher Education Islamic Institute,Karokh,https://alghias.edu.af
Allamah Institute of Higher Education,Kabul,http://allamah.edu.af
American University of Afghanistan,Kabul,http://www.auaf.edu.af
Arakozia Institute of Higher Education,Lashkar Gah,http://arakozia.edu.af
Aria University,Mazar-e Sharif,http://www.aria.edu.af/en
Ariana University,Kabul,http://www.ariana.edu.af
Ashna Institute of Higher Education,Kabul,https://ashna.edu.af
Asia Higher Education Institute,Herat,http://asia.edu.af
Avicenna University,Kabul,https://avicenna.edu.af
Azhar Higher Educations Institute,Kabul,https://en.azharedu.com
Badakhshan University,Faizabad,https://badakhshan.edu.af/en
Badghis Higher Education Institute,Badghis,https://basu.edu.af
Baghlan University,Puli Khumri,https://baghlan.edu.af/en
Bakhtar University,Kabul,http://www.bakhtar.edu.af
Balkh University,Mazar-e Sharif,http://www.ba.edu.af
Bamika Institute of Higher Education,Bamyan,https://bamika.edu.af
Bamyan University,Bamyan,http://bu.edu.af/en
Bayan Institute of Higher Education,Kabul,Webpage-Not-Found
Bayazid Rokhan Institute of Higher Education,Kabul,http://bayazid.rokhan.edu.af
Benawa Institute of Higher Education,Kandahar,http://www.benawa.edu.af
Bost University,Lashkar Gah,https://bost.edu.af
Cheragh Medical Higher Education Institute,Kabul,http://www.cheragh.edu.af
Daikundi Higher Education Institute,Kotal-Ramakak,https://dhei.edu.af
Danish Institute of Higher Education,Chaharikar,http://www.danish.edu.af
Dawat University,Kabul,https://www.dawat.edu.af
Dunya University,Kabul,https://www.dunya.edu.af
Edrak Institute of Higher Education,Kabul,https://edrak.edu.af
Eshrag Institute of Higher Education,Herat,https://eshraq.edu.af
Esteqamat Higher Education Institute,Kabul,http://esteqamat.edu.af
Fanoos Higher education Institute,Kabul,http://fanoos.edu.af
Farah Higher Education Institute,Farah,https://www.farau.edu.af
Faryab University,Faryab,https://faryab.edu.af
Gawharshad University,Kabul,https://gawharshad.edu.af
Ghalib University,Herat,https://ghalib.edu.af
"Ghalib University
Ghalib University - Kabul Branch",Kabul,https://ghalib.edu.af/Kabul/Main/true
Gharjistan University,Kabul,http://ghu.edu.af
Ghazi Amanullah Khan Institute of Higher Education,Kabul,https://gakihe.edu.af
Ghazni Technical and Engineering University,Ghazni,https://www.teug.edu.af
Ghazni University,Ghazni,https://gu.edu.af/en
Ghor Institute of Higher Education,Firozkoh City,https://www.ghru.edu.af
Hakim Sanayee University,Pul-e-Khumri,http://hakimsanayee.edu.af
Hariwa Institute of Higher Education,Herat,https://hariwa.edu.af
Helmand University,Lashkar Bazar,http://hun.edu.af
Herat University,Herat,https://hu.edu.af
Hewad Institute of Higher Education,Kabul,https://hewad.edu.af
Isteqlal Institute of Higher Education,Kabul,http://isteqlal.edu.af
Jahan Higher Education Institute,Kabul,https://jahan.edu.af
Jami University,Herat,https://jami.edu.af
Jawzjan University,Jawzjan,http://ju.afghanistan.af/fa
Kabul Polytechnic University,Kabul,https://kpu.edu.af/en
Kabul University,Kabul,https://www.ku.edu.af/
Kabul University of Medical Sciences - Abu Ali Ibn Sina,Kabul,https://kums.edu.af/en
Kahkashan Sharq Higher Education Institute,Herat,http://ksu.edu.af
Kandahar University,Kandahar,https://kdru.edu.af/en
Karwan University,Kabul,https://www.karwan.edu.af
Kateb University,Kabul,https://kateb.edu.af
Kawun Institute of HIgher Education,Balkh,http://kawun.edu.af
Khana-e-Noor Institute of Higher Education,Kabul,https://khana-e-noor.edu.af
Khatam Al-Nabieen University,Kabul,https://knu.edu.af/en
"Khatam Al-Nabieen University
Khatam Al-Nabieen University - Ghazni Branch",Ghazni,https://ghazni.knu.edu.af
Khurasan University,Jalalabad,http://khurasan.edu.af
Khurshid Institute of Higher Education,Kabul,https://khurshid.edu.af
Kohandazh Institute of Higher Education,Kunduz,http://www.kohandazh.edu.af
Kunduz University,Kunduz,https://kundoz.edu.af/en
Laghman University,Mehtarlam,https://www.lu.edu.af
Logar Higher Education Institute,Pul-e-Alam City,https://logu.edu.af
Maihan Institute of Higher Education,Kabul,https://maihan.edu.af
Maiwand Institute of Higher Education,Kabul,http://maiwand.edu.af
Malalay Institute of Higher Education,Kandahar,http://website.malalay.edu.af
Maryam University,Kabul,https://www.maryam.edu.af
Mashal University,Kabul,https://mashal.edu.af
Mawlana University,Mazar Sharif,https://mawlana.edu.af
Merwais Neaka Institute of Higher Education,Kandahar,https://mnu.edu.af
Mili Institute of Higher Education,Kabul,https://mili.edu.af
Muslim Institute of Higher Education,Ghazni,https://www.muslimuniversity.edu.af
Mustaqbal Institute of Higher Education,Kabul,https://mustaqbal.edu.af
Nangarhar University,Jalalabad,https://nu.edu.af/en
Naser Khosru Higher Education Institution,Neli,http://www.nkh.edu.af
Paiman Institute of Higher Education,Takhar,https://paiman.edu.af
Paktia University,Gardez,https://pu.edu.af
Paktika Institute of Higher Education,Paktika,https://pktku.edu.af
Pamir Institute of Higher Education,Khost,http://www.pamir.edu.af
Panjshir Higher Education Institute,Panjshir,https://pjru.edu.af
Parwan University,Charikar,https://parwan.edu.af/en
Payam Institute of Higher Education,Kabul,https://payam.edu.af
Peshgam Institute of Higher Education,Kabul,https://peshgam.edu.af
Qalam Higher education Institute,Kabul,https://qalam.edu.af
Quds Higher Education Institute,Pul-e-Khomri,http://qods.edu.af/en
Rabia Balkhi University,Kabul,http://rbu.edu.af/en
Rah-e-Saadat Institute of Higher Education,Mazar-e Sharif,https://www.rahesaadat.edu.af
Rahnaward University,Mazar-e-Sharif,https://rahnaward.edu.af
Rana University,Kabul,https://www.ru.edu.af
Reshad Institute of Higher Education,Maimana,http://reshad.edu.af
Rokhan Institute of Higher Education,Jalalabad,http://jalalabad.rokhan.edu.af
