institute,city,url
Eqrem Çabej University of Gjirokstra,Gjirokastra,https://uogj.edu.al
Agricultural University of Tirana,Tiranë,http://www.ubt.edu.al
Albanian University,Tirana,http://www.albanianuniversity.edu.al
Aldent University,Tirana,http://www.ual.edu.al
Aleksandër Moisiu University of Durrës,Durrës,http://www.uamd.edu.al
Aleksandër Xhuvani University of Elbasan,Elbasan,https://www.uniel.edu.al
Canadian Institute of Technology,Tirana,http://www.cit.edu.al
Epoka University,Vlora,https://www.epoka.edu.al
European University in Tirana,Tirana,http://www.uet.edu.al
"Fan S. Noli University, Korçë",Korçë,http://www.unkorce.edu.al
Luarasi University,Tirana,https://luarasi-univ.edu.al
Marin Barleti University,Tirana,http://www.umb.edu.al
"Medical University, Tirana",Tirana,http://www.umed.edu.al
Mediterranean University of Albania,Tirana,www.umsh.edu.al
Metropolitan Tirana University,Tirana,http://umt.edu.al
Nehemiah Gateway University,Bucimas,http://www.ng-university.org
POLIS University,Tirana,http://www.universitetipolis.edu.al
Sports University of Tirana,Tirana,http://www.ust.edu.al
Tirana Business University College,Tirana,www.tbu.edu.al
University College Bedër,Tirana,https://www.beder.edu.al
University College of Business,Tirana,www.kub.edu.al
University of Arts,Tirana,http://www.artacademy.al
University of New York Tirana,Tirana,http://www.unyt.edu.al
"University of Shkodra, ""Luigj Gurakuqi""",Shkodër,http://www.unishk.edu.al
University of Tirana,Tirana,http://www.unitir.edu.al
"University of Vlora ""Ismail Qemali""",Vlorë,http://univlora.edu.al
University Our Lady of Good Counsel,Tirana,https://www.unizkm.al
Wisdom University College,Tirana,www.wisdom.edu.al
